###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
56|Western|JewChooTrain|2388.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
57|Yzerman|The Red Hot Chilly Wings|2386.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
58|Yzerman|The Disciples of Ginger Jesus|2384.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
59|Howe|Stomboned1|2369.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
60|Francis|Team Ramrod|2367.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
61|Jagr|Soft Dump In The Corner|2361.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
62|Roy|Kurri Farts|2354.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
63|Bourque|Cech's Other Brother|2350.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
64|Gretzky|The Roughnecks|2335.6|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
65|Sakic|Temple Of The Phil|2334.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
66|Yzerman|Krejci Train|2332.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
67|Roy|Grapes of Rask|2329.25|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
68|Esposito|Kevin Chevel's Day Off|2328.25|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
69|Gretzky|Saad De Haan Job|2325.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
70|Western|TeamNameRequired|2320.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
71|Eastern|Crosby-Laich-Boyes|2318.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
72|Sakic|Penner 15 Club|2315.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
73|Gretzky|Koekkoek for Cocoa Puffs|2311.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
74|Bourque|Lovable Loozers|2309.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
75|Jagr|Penners House of Pancakes|2306.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
76|Eastern|King of the Kessel|2300.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
77|Dionne|Habby Habby Habs Habs|2295.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
78|Gretzky|Faceoff Ass Up|2294.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
79|Gretzky|RedBull gives you Wingels|2293.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
80|Bourque|2 Girls 1 Kopitar|2289.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
81|Western|Buck Dich|2285.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
82|Howe|The Coolers|2274.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
83|Lemieux|Henrik's Hammers|2274.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
84|Messier|Who Shattenkirk's Bed|2271.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
85|Howe|Multiple Scoregasms|2266.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
86|Howe|Mystic Coupons|2264.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
87|Esposito|The Water Bottle Police|2263.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
88|Sakic|Voracek Park|2259.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
89|Yzerman|NyQuist on Helm Street|2259.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
90|Messier|Hash Hockey|2252.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
91|Bourque|Don't Toews Me Bro!|2251.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
92|Jagr|The Cake Eaters|2248.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
93|Esposito|Bearden Holtby|2229.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
94|Esposito|Heatley Hits The Post!|2227.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
95|Roy|KitchRons|2225.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
96|Messier|Bar Down|2223.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
97|Esposito|Gary wasn't so brilliant|2221.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
98|Western|Lindros' CTE|2215.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
99|Messier|Flop To The Top|2211.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
100|Sakic|Burns Notice|2199.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
101|Sakic|Jump Over the Hertl|2198.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
102|Francis|A Soft Dump in the Corner|2195.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
103|Roy|Staal Tactics|2195.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
104|Yzerman|Cookie Monsters|2185.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
105|Dionne|Off Constantly|2181.25|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
106|Howe|Angry Babcock|2170.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
