###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Jagr|pretty decent fantasy hockey team|2541.52
2|Lemieux|The Ponies of Equestria|2520.05
3|Roy|Oh The Places We'll Go!|2497.23
4|Dionne|Finnishing Touch|2489.08
5|Gretzky|Pimpin' Ain't Parise|2484.57
6|Yzerman|Now Josi Me, Now You Don't|2472.22
7|Hasek|Denim Chicken|2469.93
8|Francis|Rose City Sinners|2456.48
9|Coffey|Lubo Sucks|2441.74
10|Brodeur|Cell Phones and Plane Tickets|2440.18
11|Bourque|The Good Times Are Killorn Me|2412.52
12|Gretzky|Tarasenkyu Very Much|2410.08
13|Bourque|Ginger Geesus's Grilled Cheeses|2409.08
14|Jagr|NO LEAFS!!|2401.66
15|Howe|Mystic Coupons|2399.33
16|Roy|Cloud Giroux|2387.63
17|Gretzky|Tatar Tots|2383.82
18|Roy|Hiller Invades Bolland|2382.28
19|Dionne|Krieder Hard|2381.07
20|Sakic|Tomas Fleischlights|2375.17
21|Hasek|Flying Zambonis|2374.12
22|Dionne|Nash Rules Everything Around Me|2350.84
23|Roy|Hertl Squad|2344.5
24|Brodeur|KESSEL Me Babeh|2328.95
25|Howe|Wrath of Grapes|2311.48
26|Recchi|Mackinnon on your Girl|2308.8
27|Roy|Trial By Thryr|2301.88
28|Messier|Glengarry Glencross|2301.21
29|Hasek|JewChooTrain|2298.0
30|Jagr|falco1002|2295.42
31|Roy|Mint Barrie Crunch!|2294.06
32|Esposito|Yippee Oh Paille|2288.22
33|Dionne|Dionamite Jones|2287.33
34|Hasek|Toews'd & Kane-fused|2286.51
35|Gretzky|RIP Heatley's Ferrari|2280.71
36|Gretzky|Crosby-Laich-Boyes|2274.94
37|Francis|Lou's Clues|2273.33
38|Brodeur|Up and Around the Benn|2268.23
39|Recchi|Dr. Draisaitl's Sick Beats|2266.87
40|Sakic|Phaneuf Said|2266.06
41|Bourque|Penners house of pancakes|2259.87
42|Esposito|Eddie Lack's Corn Boats|2259.4
43|Gretzky|Bieska and Lulongo|2257.24
44|Gretzky|Tenacious Turtles|2256.26
45|Bourque|Kreid'in Dirty|2253.79
46|Coffey|AGexpress|2252.63
47|Francis|Talk to me Goose|2250.44
48|Hasek|Zetterberg Curve|2248.82
49|Gretzky|Frolunda HC|2247.47
50|Coffey|Cinnamon Toews Crunch|2246.61
51|Bourque|The Milk Drinkers|2245.48
52|Dionne|KanesLifeMatters|2244.89
53|Brodeur|Bitch, Don't Phil My Vibe|2241.4
54|Jagr|Hash Hockey|2240.34
55|Lemieux|South City Squash|2237.8
56|Roy|What The Puck|2237.4
57|Messier|Crystal Lake Campers|2236.01
58|Jagr|The Tarasenkshow|2234.6
59|Dionne|Glweebs|2231.32
60|Gretzky|Nailing Yaks|2231.08
61|Jagr|King of the Kessel|2231.02
62|Esposito|EXCELlent|2227.34
63|Francis|Defibrillators|2226.02
64|Sakic|Another Brick in the Roy|2217.13
65|Hasek|The Rickbreath 40-30s|2213.95
66|Lemieux|Strokin' It|2213.57
67|Brodeur|Promotion by Dropout|2211.76
68|Lemieux|McCoy's Red Army|2196.07
69|Yzerman|Richers to Hags|2195.39
70|Messier|The Jive Turkays|2194.71
71|Roy|Is This Baseball?|2189.02
72|Bourque|Btchz Be Krejci|2187.35
73|Yzerman|Duck Duck Nyquist|2186.44
74|Recchi|Fussy Puckers|2178.73
75|Recchi|Cold As Ice|2175.72
76|Yzerman|SportsNewbie|2172.4
77|Gretzky|Oshie & Him|2168.88
78|Coffey|Bowl of Pastrnak|2161.52
79|Howe|MacDaddy|2160.72
80|Esposito|Hockey puns|2157.44
81|Brodeur|Can you handle the Yandle?|2157.11
82|Howe|Molemen|2156.6
83|Roy|Neal Kari's Malkin|2151.43
84|Hasek|Elbow Room #41in15|2147.88
85|Lemieux|The Judean People's Front|2147.24
86|Roy|Bar Down|2144.33
87|Gretzky|Datsyukian Deke|2141.29
88|Francis|Heil Sittler|2141.14
89|Howe|South Detroit Journeymen|2141.05
90|Bourque|Glatt's Greatures|2140.64
91|Dionne|DUBINSKY'S GARAGE LEAGUE|2139.49
92|Brodeur|blackandorangeblackandorange|2139.29
93|Brodeur|Krejci Train|2139.27
94|Yzerman|Ain't no Hall or Backes girl|2139.15
95|Sakic|Stupid Sexy Henrik|2136.82
96|Hasek|PuckingFricks|2135.7
97|Jagr|Prustcription PangHillers|2128.08
98|Roy|Bo Scorevat|2127.11
99|Howe|Crosby, Staals & Nash|2124.46
100|Gretzky|Drouination|2124.21
101|Messier|MIKE HASSELHOFFMAN|2117.35
102|Esposito|The Ottawa BeeVees|2116.78
103|Lemieux|Pretend This Name's Clever|2115.84
104|Yzerman|Hot Crosby's|2113.03
105|Esposito|In Mcdavid We Trust|2111.21
106|Messier|Flop To The Top|2110.65
107|Hasek|CTE|2108.63
108|Coffey|MikePiazza|2102.76
109|Lemieux|Kronwall Of Pain|2100.09
110|Yzerman|Netflix and Phil|2086.37
111|Recchi|I'm Voodoo|2086.31
112|Roy|Pickle Sunrise|2076.95
113|Francis|TeamNameRequired|2076.66
114|Brodeur|Crosby Sweaters|2076.39
