###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Roy|Staal It What You Want|akacesfan|5547.2
2|Gretzky|Noddan HC|noddan|5521.6
3|Gretzky|Tarasenkyu Very Much|ch1zzle|5463.1
4|Luuuuuuu|Licensed to Phil|ovorc|5387.25
5|Niedermayer|Seattle Marners|Rhyme-Thyme|5359.35
6|Hasek|While My Makar Gently Weeps|Kovellen|5351.35
7|Jagr|Book Hockey|TwoPlanks|5340.85
8|Jagr|Kane You Spare A Dollar|SPEMason|5324.3
9|Jagr|And A Seider Chips Please|GusZ|5309.85
10|Lemieux|DingleBarrie's|jacouzzie|5302.35
11|Hasek|Release the Kraken|RalJTK|5295.45
12|Yzerman|Tenacious Turtles|dzibanche|5279.0
13|Luuuuuuu|Flying Zambonis|Cannon49|5276.6
14|Hasek|Putting On The Foil|Uncledonny|5269.15
15|Lemieux|No Reimer Reason|Tsunkatse|5263.5
16|Luuuuuuu|Five Hole Douches|Douche78|5263.15
17|Yzerman|Vancity Express|nickfrompitt|5258.2
18|Gretzky|Hockey Style|tgmills|5242.25
19|Gretzky|Getrektzky|Boboombang|5238.2
20|Yzerman|Portland Buckaroos|TooManyPuppies|5201.7
21|Gretzky|Eat your Cale, kids|bruinhawks|5183.35
22|Leetch|Make's High Lifes|Big_make|5180.05
23|Hasek|Pimpin' Ain't Parise|Woppa|5179.3
24|Roy|Chicken and Raffls|funkyquasar|5174.5
25|Dionne|So...Get On Your Way!|Kattsumoto|5168.35
26|Yzerman|My Eks is Aho|mnm501288|5167.5
27|Luuuuuuu|Cow Tipping Mafia|ImminentFate|5155.55
28|Hasek|Kansas City Redwings|sickboy1965|5150.75
29|Jagr|Solar Bears|friendo|5150.45
30|Luuuuuuu|Connor McDavid Had A Team EIEIO|hholysheet|5144.55
31|Dionne|How Are Ya Now?|Thomsco|5143.5
32|Yzerman|falco1002|chaopw2010|5139.45
33|Luuuuuuu|Blue Lines Matter|PaperParrot|5126.2
34|Dionne|Asston Mustachews|cromz|5125.5
35|Gretzky|Denim Chicken|sleeptalkerz|5120.55
36|Orr|Spaghetti Monsters|boombohn|5120.35
37|Roy|Democratic People's Republic of Kariya|kjohnm|5119.9
38|Lemieux|Steve's Spot|yoshirider2709|5117.05
39|Luuuuuuu|hotoatmeal|hotoatmeal|5112.9
40|Roy|Big Johnsons|barrill|5109.5
41|Gretzky|Josi's Story|SPRX97|5103.15
42|Dionne|The Ides of Marchand|CTonyJab|5102.65
43|Roy|Connor4Real|gumbosious|5096.85
44|Gretzky|Queen Anne's Lake Monsters|MWHazard|5079.55
45|Roy|Ogie Ogilthorpe|marcram|5077.75
46|Gretzky|Kreider Hard|BluntForce19|5072.5
47|Gretzky|Rust|benzene96|5069.1
48|Hasek|The Pius Goose|leapinliz|5059.35
49|Lidstrom|St. John's Shamrocks|BananApocalypse|5046.1
50|Leetch|DropTheGloves|DropTheGloves|5045.25
51|Gretzky|"The King's Spot"|DonPaita|5042.55
52|Gretzky|Pettersson Than Revenge|akacesfan|5036.95
53|Jagr|Phascolarctos Cinereus|BOBROVSKY|5011.45
54|Bourque|The Kessel Run|DeliveryDuck|5009.25
55|Dionne|So Gritty!|MorphineSmile|5003.6
56|Roy|Bluth's Bananas|zodiac33|4988.75
57|Howe|Letterkenny Irish|D0WNW4rD|4985.45
58|Bourque|Take One|unexpgrav|4977.2
59|Luuuuuuu|Koplin's Spartans|koplin|4962.8
60|Roy|tooslow|tooproforyou|4960.15
61|Lemieux|Ponch|ponch101|4928.65
62|Niedermayer|Saint Patrice|corvuskerst|4917.0
63|Gretzky|Hung out to Drai|concini|4912.85
64|Luuuuuuu|Bert and Erne [ now anti-vaxx :( ]|Howe_U_Doin|4897.25
65|Roy|South Detroit Journeymen|Scooterkid|4874.0
66|Lidstrom|One Kessticles|maverickxm2|4867.55
67|Jagr|NY Power Rangers|uh3ckinwotm8|4863.5
68|Howe|Cant think of a pun|ronan00|4857.95
69|Dionne|Mystic Coupouns|tweedledunn|4855.05
70|Niedermayer|Mackinnon Aho|WaterAndSand|4833.05
71|Luuuuuuu|Good Will Bunting|TwistedEdge|4814.75
72|Lidstrom|The Brockstars|Rawrhock|4814.4
73|Lemieux|Dumpster Fire Brigade|paularlington|4805.15
74|Howe|Melnyk's Old Liver|Coyle1096|4805.05
75|Dionne|Frolunda HC|FCBcn19|4792.85
76|Dionne|Fuck I'm Not Doing too well|CasualMetaphor|4791.6
77|Hasek|Dumplers|ShinyLeprechaun|4778.6
78|Orr|Net, Sticks and Chill|bwemonts|4777.5
79|Roy|Asston Mustashews|tom1251|4765.75
80|Niedermayer|Lock Monsters|ksteadsrus|4761.6
81|Gretzky|Book Hockey|VoodooSteve|4753.2
82|Howe|Pay Cheque|ndjolt02|4736.45
83|Leetch|Team Greg Mckegg|JackMccallum|4731.4
84|Bourque|Holm Sweet Lindholm|Gamerz|4716.6
85|Orr|Morehitz Seider|jddeppe|4707.75
86|Lemieux|McFleurys|MashBano|4702.85
87|Luuuuuuu|Krangberg|boywoods|4665.1
88|Dionne|StraightCashHomie|hockeymax93|4664.3
89|Leetch|Seattle Kranken|Gman5869|4655.25
90|Luuuuuuu|Seattle Freeze|christhrowrocks|4642.15
91|Niedermayer|Better Call Staal|HurricaneHavoc|4636.4
92|Roy|RIP Heatley's Ferrari|SHTTNwTHINKIN|4634.9
93|Lemieux|Toews'd & Kane-fused|rocking2rush10|4625.7
94|Hasek|Chaos HC|ckroyal92|4617.55
95|Jagr|The Larkness Monster|RonDC30|4613.6
96|Howe|Biscotti's buds|Biscotti|4608.7
97|Hasek|Peace and Love|JayWilly|4605.9
98|Bourque|What's The Maatta|morkle|4603.3
99|Hasek|Get CTE or Die Tryin'|dorsia|4603.05
100|Howe|Doan Stop Believin'|Kiwsu|4603.0
101|Howe|Glass of Marleau|MrMikeySanz|4578.55
