###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Jones-Allen|Raging Joner|onegaishimasu|2147.05
2|Gretzky|Tarasenkyu Very Much|ch1zzle|2068.6
3|Jagr|watch your mouth|tooproforyou|2066.0
4|Yzerman|Bar Down|Minnesnota|2064.45
5|Gretzky|Getrektzky|Boboombang|2041.45
6|Dionne|Drunk Ovi|hotoatmeal|2012.2
7|Jones-Allen|Gerald McBoing-Boing|Kattsumoto|2006.45
8|Gretzky|https://streamable.com/73ksy|VoodooSteve|1990.2
9|Dionne|Book Hockey|TwoPlanks|1989.75
10|Hasek|Denim Chicken|sleeptalkerz|1977.65
11|Gretzky|Dude, Where's Makar?|SPRX97|1976.9
12|Hasek|Wrath of Joe McGrath|LAGunsHockey|1976.85
13|Chelios|Asston Mustachews|tom1251|1974.15
14|Roy|"Life has Pastas By"|benzene96|1972.7
15|Jones-Allen|Eat your Cale, kids|bruinhawks|1972.05
16|Howe|GingaNinja3113's Team|GingaNinja3113|1971.4
17|Lidstrom|Dubois are back in town.|BOBROVSKY|1968.75
18|Roy|Hiroses for Hire|Howe_U_Doin|1966.55
19|Yzerman|Koplin's Spartans|koplin|1965.8
20|Yzerman|NurseSharks|fidel-catstro|1963.3
21|Lemieux|Pepe Silvia|boywoods|1959.1
22|Niedermayer|Bonafide Stallion|corvuskerst|1949.4
23|Roy|Team Zissou|ska5fe|1943.85
24|Leetch|Kb85's Team|Kb85|1932.25
25|Lemieux|BlizzNasty|ckroyal92|1931.65
26|Gretzky|Tkachuk Norris|Twitty|1930.55
27|Yzerman|Ovi O's|ShinyLeprechaun|1920.4
28|Lidstrom|Oscar Meier Weiners|jsnow88|1918.75
29|Jones-Allen|Hintz Me Baby One More Time|dkpatrick|1916.9
30|Hasek|Flying Zambonis|Cannon49|1915.45
31|Gretzky|Licensed to Phil|ovorc|1913.15
32|Howe|Almost Famous|aleski|1912.15
33|Pronger|ChazMichaels's Team|ChazMichaels|1911.2
34|Leetch|Party Kane|selcio44|1908.65
35|Pronger|Putting On The Foil|Uncledonny|1907.2
36|Pronger|Chogoris White Scars|AngNazgul|1904.55
37|Orr|Ogie Ogilthorpe|marcram|1903.25
38|Jones-Allen|Pimpin' Ain't Parise|Woppa|1897.8
39|Bourque|Big Daddy Wheels|Joel249|1890.0
40|Dionne|Hockey Style|tgmills|1886.35
41|Hasek|One Kessticles|maverickxm2|1881.8
42|Gretzky|Kreider Hard|BluntForce19|1875.35
43|Lidstrom|you're back on the force, bobrovsky|thescientist120|1873.5
44|Hasek|Beans|ClayBeans|1870.85
45|Bourque|Just Winging It|DeepFriedGoose|1867.15
46|Orr|Tokyo Sandblasters|phillyCHEEEEEZ|1860.4
47|Leetch|ZavCongratz|Wuibot|1857.75
48|Dionne|RalJTK's Team|RalJTK|1851.1
49|Howe|slaw47's Team|slaw47|1847.8
50|Chelios|Dead Wings|piddles59|1845.5
51|Gretzky|bob says NYET|zachf13|1842.1
52|Yzerman|The Larkness Monster|RonDC30|1840.05
53|Lidstrom|Dude, Where's Makar?|PorcupineGuy|1828.5
54|Pronger|Whiskey Jacks|Thunder_Boy|1824.65
55|Roy|Mystic Coupons|tweedledunn|1823.4
56|Roy|Cow Tipping Mafia|ImminentFate|1823.25
57|Leetch|Kurwa|Adzki|1821.95
58|Niedermayer|Creapolus's Team|Creapolus|1821.65
59|Howe|Big Johnsons|barrill|1815.55
60|Howe|Get CTE or Die Tryin|dorsia|1812.9
61|Roy|Kreidin Dirty|bruceitup|1812.4
62|Howe|Divorced Men|yourmomcantspel|1806.55
63|Howe|No Reimer Reason|Tsunkatse|1806.2
64|Gretzky|Lord Tavares, Master of Spiders|concini|1805.45
65|Gretzky|Noddan HC|noddan|1803.5
66|Hasek|Democratic People's Republic of Kariya|kjohnm|1802.5
67|Jagr|Starship Troubas|LesVlads|1800.1
68|Lemieux|I Just Met You, This is Krejci|itsme242|1791.8
69|Jones-Allen|Pucking Fricks|Red_Dragons|1790.3
70|Jagr|Surpsu's Team|Surpsu|1790.0
71|Orr|How much wood could a Tkachuk Chuck|hindersurprise|1784.55
