###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Chelios|Seattle Freeze|christhrowrocks|2890.0
2|Orr|Queen Anne's Lake Monsters|MWHazard|2843.0
3|Leetch|Chicken and Raffls|funkyquasar|2840.1
4|Freddie-Hutton|Letangry Birds|russtyj|2821.75
5|Hasek|Noddan HC|noddan|2799.35
6|Yzerman|Yaheardwperd|yaheardwperd|2796.9
7|Jagr|Licensed to Phil|ovorc|2791.35
8|Dionne|RalJTK's Team|RalJTK|2791.2
9|Hasek|Kreider Hard|BluntForce19|2759.65
10|Jagr|Swing Low, Sweet Chiarot|leapinliz|2756.05
11|Yzerman|Putting On The Foil|Uncledonny|2754.25
12|Howe|Ogie Ogilthorpe|marcram|2723.5
13|Lemieux|Hicks Hackin' Darts|Cyperone|2696.95
14|Jagr|Go Nurse Your Stones|gumbosious|2691.5
15|Gretzky|Eat your Cale, kids|bruinhawks|2687.55
16|Gretzky|Objects in the Rear View Miro May Appear Closer Than They Are|Boboombang|2680.0
17|Gretzky|hbt|onegaishimasu|2679.7
18|Gretzky|The Ides of Marchand|concini|2667.3
19|Roy|Denim Chicken|sleeptalkerz|2657.85
20|Gretzky|Josi's Story|SPRX97|2657.4
21|Roy|NHL Bubble Boy|boywoods|2648.05
22|Yzerman|Blue Lines Matter|PaperParrot|2643.35
23|Roy|The Manthalorian|sickboy1965|2640.15
24|Gretzky|Fowler Power|VoodooSteve|2632.2
25|Freddie-Hutton|Dumplers|ShinyLeprechaun|2631.6
26|Lidstrom|How Are Ya Now?|Thomsco|2630.7
27|Hasek|Almost Famous|aleski|2627.9
28|Hasek|Big Johnsons|barrill|2626.35
29|Lemieux|Strong Coffey|TwistedEdge|2625.6
30|Howe|Cow Tipping Mafia|ImminentFate|2623.85
31|Howe|CovidTimeHockey|hholysheet|2616.25
32|Chelios|Solar Bears|friendo|2615.15
33|Freddie-Hutton|Democratic People's Republic of Kariya|kjohnm|2610.3
34|Gretzky|Tarasenkyu Very Much|ch1zzle|2603.6
35|Lidstrom|District 5|MashBano|2595.6
36|Gretzky|Rust|benzene96|2589.7
37|Hasek|Bert Ehn Erne|Howe_U_Doin|2589.35
38|Freddie-Hutton|Never Go Full Tkachuk|DonPaita|2585.4
39|Freddie-Hutton|Koplin's Spartans|koplin|2583.45
40|Hasek|Bar Down|Minnesnota|2580.45
41|Roy|NurseSharks|fidel-catstro|2575.55
42|Freddie-Hutton|Boats Boats Boats|ckroyal92|2574.0
43|Pronger|Vancity Grit Grinders|nickfrompitt|2574.0
44|Chelios|Toronto Center of the Universe|CasualMetaphor|2571.1
45|Howe|Russian Gas|JayWilly|2568.5
46|Hasek|MirrorHall|akacesfan|2562.5
47|Gretzky|watch your mouth|tooproforyou|2558.35
48|Freddie-Hutton|Robin Hrood|hotoatmeal|2552.6
49|Niedermayer|Portland Buckaroos|TooManyPuppies|2545.85
50|Roy|Bluth's Bananas|zodiac33|2542.85
51|Dionne|South Detroit Journeymen|Scooterkid|2523.4
52|Gretzky|PartyKane|selcio44|2521.8
53|Lemieux|Divorced Guys|bruceitup|2508.75
54|Hasek|Tenacious Turtles|dzibanche|2508.4
55|Gretzky|Dear Mr. Fantasy God Mitch Marner|Kovellen|2506.9
56|Leetch|DingleBarrie's|jacouzzie|2506.05
57|Freddie-Hutton|Pimpin' Ain't Parise|Woppa|2498.0
58|Yzerman|ChazMichael's team|ChazMichaels|2485.85
59|Gretzky|Flying Zambonis|Cannon49|2479.5
60|Bourque|Cant think of a pun|ronan00|2475.3
61|Dionne|Asston Mustachews|tom1251|2475.05
62|Roy|Hockey Style|tgmills|2474.65
63|Roy|TBA|Coyle1096|2474.2
64|Lidstrom|I have no idea what I'm doing|Thatguy91|2473.2
65|Dionne|bradisrad|Bradisrad|2472.65
66|Freddie-Hutton|Book Hockey|TwoPlanks|2465.8
67|Leetch|Buckets of Poutine|WalterRaleigh|2461.4
68|Freddie-Hutton|Storm the Capitals /s|BOBROVSKY|2451.0
69|Lemieux|Live Laf Love|uh3ckinwotm8|2450.5
70|Hasek|Starship Troubas|LesVlads|2446.95
71|Orr|sportsdatastuff.com|derekjohn|2445.55
72|Freddie-Hutton|No Reimer Reason|Tsunkatse|2443.15
73|Gretzky|So Gritty!|MorphineSmile|2442.2
74|Bourque|Mag|bigtatis|2430.3
75|Jagr|Get CTE or Die Tryin'|dorsia|2428.35
76|Howe|Syracuse Bulldogs|Orbalisk|2420.4
77|Niedermayer|In the Hall of the Malkin Kane|cromz|2419.5
78|Bourque|Weiss Guys|GusZ|2413.8
79|Roy|Meier? I Hardly Even Know Her|SPEMason|2409.65
80|Orr|Five Hole Feast|AceJiggy19|2406.6
81|Bourque|Washington Hockey Team|hkyplyr|2391.95
82|Howe|Zwuibot's revenge tour|Wuibot|2384.55
83|Roy|Oh, The Thinks You Can Think!|Kattsumoto|2378.75
84|Niedermayer|Deutschland Danglers|ebay12|2378.4
85|Orr|Deez Pukz|nitro78923|2375.75
86|Niedermayer|Zuckie's Cookies|Daschn|2367.45
87|Gretzky|Tkachuk Norris|Twitty|2357.9
88|Jagr|Pay Cheque|ndjolt02|2346.7
89|Pronger|Jurgen's Jungs|Moodano9|2342.55
90|Roy|Mystic Coupons|tweedledunn|2342.15
91|Yzerman|Five Hole Douches|Douche78|2340.85
92|Dionne|Bony Kneez|Do_Not_Look_Up|2339.0
93|Orr|Toews'd & Kane-fused|rocking2rush10|2336.5
94|Leetch|The Ides of Marchand|CTonyJab|2334.55
95|Orr|Stars of David|brown4se|2334.4
96|Pronger|Two Tone Tounge Ticklers|Earlthegoat|2334.05
97|Roy|Team Zissou|ska5fe|2333.55
98|Jagr|The Yzerplan|hockeymax93|2328.1
99|Lidstrom|Soo Greyhounds|MarcBergevin|2328.05
100|Howe|Josi and the pussycats|BoardControl|2322.5
101|Dionne|RIP Heatley's Ferrari|SHTTNwTHINKIN|2318.1
102|Jagr|Bunch of Kunitz|yalittlehip|2314.15
103|Roy|Dumpster Fire Brigade|paularlington|2313.6
104|Hasek|The Larkness Monster|RonDC30|2308.4
105|Hasek|Clap Bombs, Fck Moms|Joel249|2307.9
106|Dionne|Up and Around the Benn|jagoe_unchained|2304.1
107|Lemieux|Dumba and Dumber|Surpsu|2303.5
108|Freddie-Hutton|falco1002|chaopw2010|2301.65
109|Orr|Jepeetos|Jepeeto|2299.8
110|Yzerman|Kane you Fial it|mnm501288|2291.25
111|Jagr|Mantha's Marauders|Azotherian|2290.65
112|Howe|JewChooTrain|JewChooTrain|2289.6
113|Lidstrom|The Hogamaniacs|yoshirider2709|2282.25
114|Dionne|Teenage Mutant Ninja Hertl|SimpsonN1nja|2281.7
