###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Gretzky|Noddan HC|noddan|1926.3
2|Jagr|Kane You Spare A Dollar|SPEMason|1865.65
3|Lemieux|DingleBarrie's|jacouzzie|1852.1
4|Luuuuuuu|Flying Zambonis|Cannon49|1834.05
5|Hasek|Release the Kraken|RalJTK|1812.5
6|Gretzky|Getrektzky|Boboombang|1803.3
7|Luuuuuuu|Licensed to Phil|ovorc|1801.2
8|Roy|Ogie Ogilthorpe|marcram|1790.85
9|Luuuuuuu|hotoatmeal|hotoatmeal|1787.75
10|Yzerman|Vancity Express|nickfrompitt|1781.3
11|Gretzky|Eat your Cale, kids|bruinhawks|1780.2
12|Lemieux|No Reimer Reason|Tsunkatse|1777.5
13|Gretzky|Denim Chicken|sleeptalkerz|1776.9
14|Hasek|Kansas City Redwings|sickboy1965|1768.4
15|Leetch|Make's High Lifes|Big_make|1761.55
16|Roy|Staal It What You Want|akacesfan|1756.1
17|Roy|Democratic People's Republic of Kariya|kjohnm|1745.75
18|Hasek|Putting On The Foil|Uncledonny|1740.1
19|Howe|Biscotti's buds|Biscotti|1737.15
20|Yzerman|falco1002|chaopw2010|1729.45
21|Hasek|Pimpin' Ain't Parise|Woppa|1726.05
22|Yzerman|Portland Buckaroos|TooManyPuppies|1715.15
23|Dionne|How Are Ya Now?|Thomsco|1712.8
24|Niedermayer|Seattle Marners|Rhyme-Thyme|1708.4
25|Hasek|While My Makar Gently Weeps|Kovellen|1706.05
26|Lidstrom|St. John's Shamrocks|BananApocalypse|1704.85
27|Dionne|The Ides of Marchand|CTonyJab|1701.4
28|Gretzky|Josi's Story|SPRX97|1700.65
29|Roy|Chicken and Raffls|funkyquasar|1699.5
30|Gretzky|Hockey Style|tgmills|1690.9
31|Roy|Big Johnsons|barrill|1686.15
32|Jagr|Book Hockey|TwoPlanks|1685.65
33|Dionne|So...Get On Your Way!|Kattsumoto|1684.1
34|Luuuuuuu|Blue Lines Matter|PaperParrot|1680.65
35|Jagr|And A Seider Chips Please|GusZ|1679.95
36|Luuuuuuu|Koplin's Spartans|koplin|1677.5
37|Gretzky|Hung out to Drai|concini|1672.15
38|Orr|Spaghetti Monsters|boombohn|1667.05
39|Yzerman|Tenacious Turtles|dzibanche|1662.0
40|Lidstrom|The Brockstars|Rawrhock|1659.4
41|Bourque|Take One|unexpgrav|1658.6
42|Gretzky|Tarasenkyu Very Much|ch1zzle|1658.2
43|Gretzky|Kreider Hard|BluntForce19|1648.65
44|Luuuuuuu|Cow Tipping Mafia|ImminentFate|1647.1
45|Gretzky|Queen Anne's Lake Monsters|MWHazard|1646.45
46|Dionne|StraightCashHomie|hockeymax93|1644.65
47|Niedermayer|Better Call Staal|HurricaneHavoc|1639.15
48|Hasek|Dumplers|ShinyLeprechaun|1636.95
49|Lemieux|Dumpster Fire Brigade|paularlington|1634.55
50|Hasek|Peace and Love|JayWilly|1627.15
51|Niedermayer|Lock Monsters|ksteadsrus|1623.4
52|Roy|Connor4Real|gumbosious|1622.65
53|Roy|Asston Mustashews|tom1251|1622.05
54|Jagr|HuberdEau de toilette|hkyplyr|1620.2
55|Yzerman|My Eks is Aho|mnm501288|1619.3
56|Jagr|NY Power Rangers|uh3ckinwotm8|1618.85
57|Luuuuuuu|Five Hole Douches|Douche78|1617.7
58|Lemieux|Ponch|ponch101|1615.6
59|Jagr|Solar Bears|friendo|1613.4
60|Hasek|Yaheardwperd|yaheardwperd|1612.15
61|Dionne|Fuck I'm Not Doing too well|CasualMetaphor|1611.75
62|Gretzky|Rust|benzene96|1611.7
63|Luuuuuuu|Krangberg|boywoods|1611.0
64|Gretzky|Pettersson Than Revenge|akacesfan|1610.25
65|Howe|Pay Cheque|ndjolt02|1607.6
66|Dionne|Bar Down|Minnesnota|1607.35
67|Roy|South Detroit Journeymen|Scooterkid|1606.7
68|Lemieux|Yeah the boys|Thatguy91|1604.4
69|Dionne|So Gritty!|MorphineSmile|1602.15
70|Howe|The Green Bastards|Canadianheel|1598.9
71|Lemieux|Oinko-Chokko Milkkonen|yoshirider2709|1595.2
72|Niedermayer|Saint Patrice|corvuskerst|1595.2
73|Leetch|DropTheGloves|DropTheGloves|1591.15
74|Jagr|Phascolarctos Cinereus|BOBROVSKY|1590.3
75|Howe|Cant think of a pun|ronan00|1579.1
76|Bourque|What's The Maatta|morkle|1576.8
77|Howe|Glass of Marleau|MrMikeySanz|1575.35
78|Luuuuuuu|Connor McDavid Had A Team EIEIO|hholysheet|1573.0
79|Howe|Letterkenny Irish|D0WNW4rD|1570.3
80|Luuuuuuu|Seattle Freeze|christhrowrocks|1569.65
81|Leetch|Team Greg Mckegg|JackMccallum|1565.6
82|Gretzky|"The King's Spot"|DonPaita|1565.55
83|Lidstrom|Scadrian Allomancers|Surye|1562.5
84|Luuuuuuu|Bert and Erne [ now anti-vaxx :( ]|Howe_U_Doin|1556.65
85|Orr|Net, Sticks and Chill|bwemonts|1556.1
86|Roy|tooslow|tooproforyou|1551.1
87|Hasek|The Pius Goose|leapinliz|1546.15
88|Hasek|Get CTE or Die Tryin'|dorsia|1545.95
89|Roy|RIP Heatley's Ferrari|SHTTNwTHINKIN|1544.7
90|Dionne|Do Josi What I See|DreDay084|1541.45
91|Howe|Coyle's Aho|The_Irelander|1538.3
92|Niedermayer|Mackinnon Aho|WaterAndSand|1532.95
