###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Yzerman|Benn there, Domi that *|2898.57
2|Howe|Feel my Rask *|2813.86
3|Brodeur|Kreider Hard *|2806.75
4|Chelios|Cow Tipping Mafia *|2806.09
5|Roy|Josi's Story *|2795.82
6|Jagr|Jarg 17-18 *|2790.38
7|Roy|Tarasenkyu Very Much *|2780.28
8|Roy|Wrath of Joe McGrath *|2779.13
9|Hasek|Don't Stop 'Til You Get Phaneuf *|2771.77
10|Roy|Book Hockey *|2758.97
11|Gretzky|Frolunda HC|2750.68
12|Gretzky|Getrektzky *|2749.76
13|Gretzky|Burns baby Burns|2743.57
14|Lemieux|The aRISTOcrats *|2739.49
15|Gretzky|Denim Chicken *|2729.04
16|Jagr|Big Johnsons *|2724.55
17|Yzerman|Bar Down *|2714.14
18|Howe|Sassy Glove Save *|2700.1
19|Lidstrom|Crazy L Gorillas *|2696.42
20|Gretzky|Nailing Yaks *|2693.04
21|Brodeur|Horton Hatches The Egg *|2690.64
22|Howe|Athanaseeyoul8er *|2689.03
23|Yzerman|Democratic People's Republic of Kariya *|2686.14
24|Lemieux|Look What Yeo Made Me Do *|2673.33
25|Hasek|Hart@Yak *|2670.74
26|Pronger|Red Wing High Five *|2661.42
27|Gretzky|One Kessticle *|2658.14
28|Leetch|Paidat *|2652.38
29|Pronger|The Matthews 4-Drops *|2648.17
30|Orr|Century Mews *|2636.78
31|Gretzky|Pimpin' Ain't Parise|2636.61
32|Lidstrom|DingleBarrie's *|2631.38
33|Brodeur|The Cake Eaters *|2621.8
34|Bourque|The Ghost of Mike Johnston's Power Play *|2614.32
35|Lemieux|Straight Cash Homie *|2608.2
36|Lemieux|Up and Around the Benn *|2591.12
37|Yzerman|Doughty Didn't Deserve The Norris *|2585.43
38|Brodeur|bob says NYET *|2582.62
39|Jagr|Athanasiou Later *|2578.96
40|Hasek|Good Kid, S.A.A.D City *|2578.37
41|Dionne|Thin Ice *|2573.7
42|Hasek|Northern Guard *|2569.95
43|Howe|The Larkness Monster|2568.16
44|Niedermayer|ponch *|2567.98
45|Hasek|Hiller Did Nothing Wrong|2565.26
46|Hasek|Witty Team Namestnikov|2562.67
47|Roy|Divorced Guys *|2560.9
48|Brodeur|RIP Heatley's Ferrari|2560.77
49|Howe|Double Bennetration *|2554.94
50|Dionne|Andre and the Goons|2551.78
51|Yzerman|Mystic Coupons *|2550.01
52|Chelios|Starship Troubas *|2543.69
53|Dionne|abcSpectacular *|2536.36
54|Jagr|Glatt Attack *|2536.19
55|Gretzky|Flying Zambonis *|2532.81
