###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--
72|Western|JewChooTrain|1619.55|NR|NR|NR|NR|NR|NR|NR
73|Eastern|King of the Kessel|1615.0|NR|NR|NR|NR|NR|NR|NR
74|Roy|Wrath of Joe McGrath|1613.1|NR|NR|NR|NR|NR|NR|NR
75|Bourque|Lovable Loozers|1610.95|NR|NR|NR|NR|NR|NR|NR
76|Western|Lindros' CTE|1605.55|NR|NR|NR|NR|NR|NR|NR
77|Yzerman|The Red Hot Chilly Wings|1603.6|NR|NR|NR|NR|NR|NR|NR
78|Yzerman|Cookie Monsters|1595.5|NR|NR|NR|NR|NR|NR|NR
79|Jagr|The Cake Eaters|1591.5|NR|NR|NR|NR|NR|NR|NR
80|Gretzky|Frolunda HC|1588.15|NR|NR|NR|NR|NR|NR|NR
81|Francis|True Grit|1584.35|NR|NR|NR|NR|NR|NR|NR
82|Gretzky|Koekkoek for Cocoa Puffs|1582.35|NR|NR|NR|NR|NR|NR|NR
83|Roy|Grapes of Rask|1577.65|NR|NR|NR|NR|NR|NR|NR
84|Jagr|Penners House of Pancakes|1570.75|NR|NR|NR|NR|NR|NR|NR
85|Messier|Bar Down|1570.65|NR|NR|NR|NR|NR|NR|NR
86|Dionne|Pick It Up, Put It Down|1568.6|NR|NR|NR|NR|NR|NR|NR
87|Howe|Das Seidenberg|1566.7|NR|NR|NR|NR|NR|NR|NR
88|Esposito|Heatley Hits The Post!|1565.55|NR|NR|NR|NR|NR|NR|NR
89|Esposito|Tomas Fleischlights|1562.05|NR|NR|NR|NR|NR|NR|NR
90|Gretzky|Faceoff Ass Up|1560.45|NR|NR|NR|NR|NR|NR|NR
91|Francis|A Soft Dump in the Corner|1557.35|NR|NR|NR|NR|NR|NR|NR
92|Jagr|Crosboner|1556.65|NR|NR|NR|NR|NR|NR|NR
93|Jagr|Couturier's Cooties|1551.7|NR|NR|NR|NR|NR|NR|NR
94|Messier|Hash Hockey|1550.85|NR|NR|NR|NR|NR|NR|NR
95|Sakic|Voracek Park|1549.75|NR|NR|NR|NR|NR|NR|NR
96|Howe|Angry Babcock|1546.9|NR|NR|NR|NR|NR|NR|NR
97|Bourque|Don't Toews Me Bro!|1543.4|NR|NR|NR|NR|NR|NR|NR
98|Francis|Crosby Toews Nash|1539.35|NR|NR|NR|NR|NR|NR|NR
99|Messier|Flop To The Top|1537.4|NR|NR|NR|NR|NR|NR|NR
100|Lemieux|Henrik's Hammers|1536.85|NR|NR|NR|NR|NR|NR|NR
101|Gretzky|Saad De Haan Job|1535.2|NR|NR|NR|NR|NR|NR|NR
102|Messier|Eberle Hills 90210|1533.95|NR|NR|NR|NR|NR|NR|NR
103|Yzerman|NyQuist on Helm Street|1532.4|NR|NR|NR|NR|NR|NR|NR
104|Sakic|Temple Of The Phil|1532.3|NR|NR|NR|NR|NR|NR|NR
105|Gretzky|The Roughnecks|1529.9|NR|NR|NR|NR|NR|NR|NR
106|Yzerman|Krejci Train|1526.7|NR|NR|NR|NR|NR|NR|NR
107|Bourque|Budis|1524.35|NR|NR|NR|NR|NR|NR|NR
108|Lemieux|Knuck If You Puck|1523.25|NR|NR|NR|NR|NR|NR|NR
109|Sakic|Jump Over the Hertl|1522.9|NR|NR|NR|NR|NR|NR|NR
110|Roy|KitchRons|1517.1|NR|NR|NR|NR|NR|NR|NR
111|Western|Buck Dich|1514.2|NR|NR|NR|NR|NR|NR|NR
112|Francis|MVPerry|1509.5|NR|NR|NR|NR|NR|NR|NR
113|Yzerman|CCCP Fantasy Team|1504.85|NR|NR|NR|NR|NR|NR|NR
114|Lemieux|Kneel before Saad|1504.15|NR|NR|NR|NR|NR|NR|NR
115|Dionne|Shivakamini Somakandarkram|1500.85|NR|NR|NR|NR|NR|NR|NR
116|Esposito|Gary wasn't so brilliant|1497.5|NR|NR|NR|NR|NR|NR|NR
117|Esposito|Tiger Williams' Stick|1494.05|NR|NR|NR|NR|NR|NR|NR
118|Francis|Insane In The Duchene|1491.0|NR|NR|NR|NR|NR|NR|NR
119|Gretzky|The Tavarsenal|1490.4|NR|NR|NR|NR|NR|NR|NR
120|Sakic|Burns Notice|1490.05|NR|NR|NR|NR|NR|NR|NR
121|Dionne|Bolland for Columbine|1487.1|NR|NR|NR|NR|NR|NR|NR
122|Howe|Saints and Sinners|1481.7|NR|NR|NR|NR|NR|NR|NR
123|Eastern|Feel Like Malkin Love|1480.65|NR|NR|NR|NR|NR|NR|NR
124|Roy|Acadian Fisherman|1479.85|NR|NR|NR|NR|NR|NR|NR
125|Esposito|Bearden Holtby|1479.2|NR|NR|NR|NR|NR|NR|NR
126|Dionne|Puck Hard|1478.05|NR|NR|NR|NR|NR|NR|NR
127|Lemieux|Chi-town Lantanas|1476.25|NR|NR|NR|NR|NR|NR|NR
128|Howe|Roy-Guy Races|1475.8|NR|NR|NR|NR|NR|NR|NR
129|Lemieux|Whose Line is it Eberle?|1473.05|NR|NR|NR|NR|NR|NR|NR
130|Messier|Letang Clan Ain't Nothing To Puck With|1470.35|NR|NR|NR|NR|NR|NR|NR
131|Francis|Hello my name is: Mike Johnston|1469.6|NR|NR|NR|NR|NR|NR|NR
132|Dionne|Bill Murray Fan Club|1469.45|NR|NR|NR|NR|NR|NR|NR
133|Howe|Vanek at the Disco|1461.4|NR|NR|NR|NR|NR|NR|NR
134|Western|Dany Heatley's Limo Service|1453.55|NR|NR|NR|NR|NR|NR|NR
135|Sakic|Keep Calm and Bergeron|1453.25|NR|NR|NR|NR|NR|NR|NR
136|Bourque|Karl Karlsson|1442.0|NR|NR|NR|NR|NR|NR|NR
137|Francis|What's the Maatta?|1438.0|NR|NR|NR|NR|NR|NR|NR
138|Yzerman|Century Mews|1437.3|NR|NR|NR|NR|NR|NR|NR
139|Eastern|Sunnyvale Stars|1436.6|NR|NR|NR|NR|NR|NR|NR
140|Jagr|Slappa Voynov|1433.0|NR|NR|NR|NR|NR|NR|NR
141|Esposito|Blue&WhiteDisease|1420.9|NR|NR|NR|NR|NR|NR|NR
142|Esposito|Howard you doing?|1419.3|NR|NR|NR|NR|NR|NR|NR
143|Western|I'm Subban at puns|1414.25|NR|NR|NR|NR|NR|NR|NR
144|Bourque|More Power Plays Please|1413.5|NR|NR|NR|NR|NR|NR|NR
145|Messier|Sotnos HC|1409.15|NR|NR|NR|NR|NR|NR|NR
