###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Chelios|Snizzbone|1828.51
2|Dionne|Dumpster Fire Brigade|1784.8
3|Lemieux|The Cake Eaters|1774.43
4|Lidstrom|Jagr Bomb|1747.88
5|Hasek|Everyone Poops|1720.7
6|Lemieux|Alexander Radiculous' Team|1718.78
7|Chelios|Stan Mikita's Donuts|1714.25
8|Gretzky|Horton Hears a Who!|1704.84
9|Roy|King of the Kessel|1696.36
10|Yzerman|Damper Than Moist|1690.62
11|Brodeur|Lubo Sucks|1681.52
12|Jagr|Penners Pancakes|1675.6
13|Yzerman|Hattrick Pornqvist|1668.13
14|Niedermayer|Tokyo Sandblasters|1663.57
15|Brodeur|Mackinnon Out Burger|1660.54
16|Gretzky|Nailing Yaks|1654.92
17|Dionne|macerating toilet|1650.75
18|Gretzky|One Kessticles|1647.44
19|Gretzky|Frolunda HC|1644.38
20|Gretzky|Hiller Youth|1638.41
21|Leetch|Go Puck Yourself|1637.62
22|Jagr|The Big Pavelski|1635.91
23|Hasek|All Down The Laine|1631.19
24|Bourque|Bryan Rust and the Rusty Plugs|1624.09
25|Leetch|kyOh|1621.95
26|Roy|Kreider Hard|1619.95
27|Jagr|falco1002|1619.57
28|Dionne|Ginger Geesus's Grilled Cheeses|1614.09
29|Orr|PassTheCulpepper|1612.26
30|Gretzky|Tarasenkyu Very Much|1591.37
31|Pronger|M&Ms|1583.95
32|Leetch|Clemens HC|1583.82
33|Gretzky|Denim Chicken|1582.06
34|Bourque|Democratic People's Republic of Kariya|1581.27
35|Leetch|xMrSleepyx|1580.09
36|Orr|Goaltender Interference|1577.18
37|Brodeur|Book Hockey|1577.01
38|Dionne|Krejci Train|1575.54
39|Yzerman|RIP Heatley's Ferrari|1570.35
40|Pronger|Doughty Didn't Deserve The Norris|1568.75
41|Hasek|Pikachubban|1565.77
42|Hasek|JewChooTrain|1560.9
43|Brodeur|Tarasenkyour Battleship|1559.86
44|Roy|Btchz B Krejci|1559.12
45|Hasek|NurseSharks|1553.92
46|Lidstrom|Ruh Oh...|1549.83
47|Roy|Konecnywa|1549.5
48|Brodeur|Pickle High-Noon|1548.48
49|Bourque|Vancouver Voodoo|1546.17
50|Lidstrom|The Larkness Monster|1543.47
51|Brodeur|Sheahan's Shillelaghs|1541.33
52|Pronger|Bust a Kapanen|1539.57
53|Lidstrom|OK Blue Jays|1539.44
