###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Chelios|Seattle Freeze|christhrowrocks|2682.95
2|Leetch|Chicken and Raffls|funkyquasar|2607.55
3|Jagr|Licensed to Phil|ovorc|2598.1
4|Orr|Queen Anne's Lake Monsters|MWHazard|2591.4
5|Hasek|Noddan HC|noddan|2570.65
6|Yzerman|Yaheardwperd|yaheardwperd|2561.15
7|Freddie-Hutton|Letangry Birds|russtyj|2560.5
8|Yzerman|Putting On The Foil|Uncledonny|2538.55
9|Jagr|Swing Low, Sweet Chiarot|leapinliz|2536.65
10|Dionne|RalJTK's Team|RalJTK|2536.6
11|Hasek|Kreider Hard|BluntForce19|2529.3
12|Howe|Ogie Ogilthorpe|marcram|2495.1
13|Gretzky|Eat your Cale, kids|bruinhawks|2474.95
14|Gretzky|hbt|onegaishimasu|2472.2
15|Lemieux|Hicks Hackin' Darts|Cyperone|2467.5
16|Roy|The Manthalorian|sickboy1965|2457.3
17|Gretzky|Objects in the Rear View Miro May Appear Closer Than They Are|Boboombang|2455.65
18|Jagr|Go Nurse Your Stones|gumbosious|2445.7
19|Howe|Russian Gas|JayWilly|2441.2
20|Hasek|Big Johnsons|barrill|2431.7
21|Howe|CovidTimeHockey|hholysheet|2430.2
22|Lidstrom|How Are Ya Now?|Thomsco|2424.85
23|Yzerman|Blue Lines Matter|PaperParrot|2424.8
24|Roy|NHL Bubble Boy|boywoods|2424.25
25|Roy|Denim Chicken|sleeptalkerz|2423.85
26|Gretzky|Josi's Story|SPRX97|2414.95
27|Gretzky|Rust|benzene96|2400.2
28|Chelios|Solar Bears|friendo|2398.35
29|Lemieux|Strong Coffey|TwistedEdge|2395.25
30|Freddie-Hutton|Dumplers|ShinyLeprechaun|2392.15
31|Freddie-Hutton|Democratic People's Republic of Kariya|kjohnm|2390.35
32|Gretzky|Fowler Power|VoodooSteve|2387.75
33|Gretzky|The Ides of Marchand|concini|2386.35
34|Lidstrom|District 5|MashBano|2384.4
35|Hasek|Almost Famous|aleski|2380.1
36|Freddie-Hutton|Never Go Full Tkachuk|DonPaita|2379.65
37|Hasek|Bert Ehn Erne|Howe_U_Doin|2374.3
38|Hasek|Bar Down|Minnesnota|2373.6
39|Howe|Cow Tipping Mafia|ImminentFate|2371.3
40|Gretzky|Tarasenkyu Very Much|ch1zzle|2370.25
41|Roy|NurseSharks|fidel-catstro|2367.85
42|Freddie-Hutton|Boats Boats Boats|ckroyal92|2366.25
43|Dionne|South Detroit Journeymen|Scooterkid|2363.6
44|Freddie-Hutton|Koplin's Spartans|koplin|2352.1
45|Hasek|MirrorHall|akacesfan|2348.35
46|Pronger|Vancity Grit Grinders|nickfrompitt|2334.6
47|Chelios|Toronto Center of the Universe|CasualMetaphor|2332.0
48|Freddie-Hutton|Storm the Capitals /s|BOBROVSKY|2328.2
49|Lemieux|Divorced Guys|bruceitup|2328.05
50|Gretzky|watch your mouth|tooproforyou|2327.7
51|Freddie-Hutton|Robin Hrood|hotoatmeal|2326.05
52|Bourque|Cant think of a pun|ronan00|2324.25
53|Dionne|Asston Mustachews|tom1251|2314.25
54|Gretzky|PartyKane|selcio44|2312.6
55|Niedermayer|Portland Buckaroos|TooManyPuppies|2309.65
56|Hasek|Tenacious Turtles|dzibanche|2307.8
57|Gretzky|Dear Mr. Fantasy God Mitch Marner|Kovellen|2307.1
58|Roy|Bluth's Bananas|zodiac33|2299.25
59|Yzerman|ChazMichael's team|ChazMichaels|2298.3
60|Dionne|bradisrad|Bradisrad|2289.7
61|Leetch|DingleBarrie's|jacouzzie|2286.8
62|Gretzky|Flying Zambonis|Cannon49|2282.35
63|Freddie-Hutton|Pimpin' Ain't Parise|Woppa|2272.2
64|Roy|TBA|Coyle1096|2269.75
65|Freddie-Hutton|No Reimer Reason|Tsunkatse|2269.4
66|Roy|Hockey Style|tgmills|2269.25
67|Freddie-Hutton|Book Hockey|TwoPlanks|2260.75
68|Leetch|Buckets of Poutine|WalterRaleigh|2260.7
69|Gretzky|So Gritty!|MorphineSmile|2253.6
70|Orr|sportsdatastuff.com|derekjohn|2243.2
71|Roy|Meier? I Hardly Even Know Her|SPEMason|2239.15
72|Niedermayer|Deutschland Danglers|ebay12|2234.25
73|Jagr|Get CTE or Die Tryin'|dorsia|2228.4
74|Lidstrom|I have no idea what I'm doing|Thatguy91|2227.9
75|Jagr|Pay Cheque|ndjolt02|2223.2
76|Hasek|Starship Troubas|LesVlads|2217.65
77|Howe|Syracuse Bulldogs|Orbalisk|2217.2
78|Lemieux|Live Laf Love|uh3ckinwotm8|2217.0
79|Bourque|Weiss Guys|GusZ|2212.7
80|Orr|Five Hole Feast|AceJiggy19|2205.2
81|Roy|Oh, The Thinks You Can Think!|Kattsumoto|2203.4
82|Bourque|Mag|bigtatis|2192.8
83|Niedermayer|In the Hall of the Malkin Kane|cromz|2187.5
84|Bourque|Washington Hockey Team|hkyplyr|2185.0
85|Pronger|Jurgen's Jungs|Moodano9|2177.3
86|Howe|Josi and the pussycats|BoardControl|2173.85
87|Lidstrom|Soo Greyhounds|MarcBergevin|2173.2
88|Roy|Mystic Coupons|tweedledunn|2170.15
89|Roy|Dumpster Fire Brigade|paularlington|2169.5
90|Howe|Zwuibot's revenge tour|Wuibot|2168.6
91|Gretzky|Tkachuk Norris|Twitty|2152.3
92|Niedermayer|Zuckie's Cookies|Daschn|2151.95
93|Orr|Deez Pukz|nitro78923|2149.5
94|Orr|Toews'd & Kane-fused|rocking2rush10|2149.1
95|Roy|Team Zissou|ska5fe|2145.95
96|Jagr|The Yzerplan|hockeymax93|2144.55
97|Howe|North Kariya Has Nukes|kyriosa|2139.7
98|Pronger|Two Tone Tounge Ticklers|Earlthegoat|2136.95
99|Orr|Stars of David|brown4se|2134.7
100|Yzerman|Five Hole Douches|Douche78|2125.3
101|Jagr|Bunch of Kunitz|yalittlehip|2124.55
102|Dionne|Bony Kneez|Do_Not_Look_Up|2120.05
103|Dionne|Up and Around the Benn|jagoe_unchained|2118.65
104|Jagr|Mantha's Marauders|Azotherian|2117.75
105|Leetch|The Ides of Marchand|CTonyJab|2114.6
106|Lemieux|Death Metal Ducks|ANADucks98|2114.2
107|Freddie-Hutton|falco1002|chaopw2010|2107.35
108|Hasek|The Larkness Monster|RonDC30|2105.4
109|Roy|Big Dumb Jerks|slaw47|2104.15
110|Hasek|Clap Bombs, Fck Moms|Joel249|2102.6
111|Howe|The Iafrate Skullets|PorcupineGuy|2102.5
112|Orr|Jepeetos|Jepeeto|2091.3
113|Chelios|Drop The Gloves|DropTheGloves|2091.15
114|Yzerman|Stop Hamil-time|itsme242|2091.0
115|Dionne|RIP Heatley's Ferrari|SHTTNwTHINKIN|2085.7
116|Pronger|Nodak Senators|Samsens|2085.35
117|Lemieux|Dumba and Dumber|Surpsu|2080.15
118|Yzerman|Kane you Fial it|mnm501288|2078.35
119|Dionne|Teenage Mutant Ninja Hertl|SimpsonN1nja|2062.6
120|Yzerman|Fargo Frostbite|HuskerVol716|2061.95
121|Bourque|Camp McDavid|warofthewrens|2052.95
122|Dionne|The Green Bastards|Canadianheel|2052.65
123|Howe|JewChooTrain|JewChooTrain|2047.05
124|Leetch|One Knight in Vegas|Schenley|2044.45
