###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
1|Western|TBD-zx|4716.1|NR|NR
2|Eastern|Big Man on Hampus-x|4679.8|NR|NR
3|Howe|Franzen-Abdelkader Weissbier-x|4447.0|NR|NR
4|Yzerman|Tenacious Turtles-x|4388.65|NR|NR
5|Esposito|Pickle Sunrise-x|4374.2|NR|NR
6|Yzerman|Phil 'em All-zx|4288.9|NR|NR
7|Western|Why The Lulooongo Face?-x|4288.6|NR|NR
8|Sakic|It's Benn A While-x|4250.0|NR|NR
9|Messier|Stalock Your Doors-zx|4241.4|NR|NR
10|Lemieux|Daft Puck-x|4240.35|NR|NR
11|Francis|Whoa Dere-x|4232.9|NR|NR
12|Roy|Fuzzy Orange Monster-x|4224.35|NR|NR
13|Gretzky|Nailing Yaks|4202.6|NR|NR
14|Howe|One Kessticles-x|4147.6|NR|NR
15|Esposito|The Next Jonathan Cheechoo-x|4145.8|NR|NR
16|Gretzky|Pimpin' Ain't Parise|4142.9|NR|NR
17|Jagr|Up and Around the Benn-x|4140.1|NR|NR
18|Eastern|Book Hockey-x|4118.55|NR|NR
19|Francis|Rubber Puckies-x|4112.55|NR|NR
20|Western|Kwik-E-Mart Gougers-x|4107.6|NR|NR
21|Western|Tatar Tots-z|4097.55|NR|NR
22|Gretzky|The People's Champion|4096.0|NR|NR
23|Jagr|Crosby Sweaters-x|4085.4|NR|NR
24|Eastern|Drouination|4078.8|NR|NR
25|Bourque|Toews'd & Kane-fused-x|4078.8|NR|NR
26|Eastern|Team Name Here-z|4070.6|NR|NR
27|Lemieux|Skaggetorp HC-x|4068.65|NR|NR
28|Eastern|Superintendent of Danglebus|4068.2|NR|NR
29|Dionne|Starbelly Sneetches-x|4067.85|NR|NR
30|Gretzky|Frolunda HC|4061.85|NR|NR
31|Messier|macerating toilet-x|4060.6|NR|NR
32|Gretzky|Bieska and Lulongo-x|4059.0|NR|NR
33|Roy|Hanzal Job-x|4056.5|NR|NR
