###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**
:-:|:-:|:-:|:--|:--|:--|:--|:--
92|Yzerman|NyQuist on Helm Street|1035.95|NR|NR|NR|NR
93|Western|Buck Dich|1027.6|NR|NR|NR|NR
94|Messier|Hash Hockey|1026.25|NR|NR|NR|NR
95|Jagr|Penners House of Pancakes|1023.9|NR|NR|NR|NR
96|Lemieux|Henrik's Hammers|1023.0|NR|NR|NR|NR
97|Gretzky|Faceoff Ass Up|1021.75|NR|NR|NR|NR
98|Lemieux|Vanek! at the Disco|1021.7|NR|NR|NR|NR
99|Gretzky|Frolunda HC|1021.2|NR|NR|NR|NR
100|Francis|Crosby Toews Nash|1019.9|NR|NR|NR|NR
101|Western|RIP Heatley's Ferrari|1018.75|NR|NR|NR|NR
102|Howe|Saints and Sinners|1017.7|NR|NR|NR|NR
103|Dionne|Bolland for Columbine|1017.65|NR|NR|NR|NR
104|Francis|Hello my name is: Mike Johnston|1016.05|NR|NR|NR|NR
105|Sakic|Jump Over the Hertl|1015.8|NR|NR|NR|NR
106|Western|TeamNameRequired|1014.95|NR|NR|NR|NR
107|Lemieux|Kneel before Saad|1013.15|NR|NR|NR|NR
108|Dionne|Shivakamini Somakandarkram|1010.4|NR|NR|NR|NR
109|Sakic|Keep Calm and Bergeron|1010.0|NR|NR|NR|NR
110|Sakic|Malkin in the Middle|1008.75|NR|NR|NR|NR
111|Yzerman|The Red Hot Chilly Wings|1008.45|NR|NR|NR|NR
112|Esposito|Bearden Holtby|1008.4|NR|NR|NR|NR
113|Gretzky|Saad De Haan Job|1003.2|NR|NR|NR|NR
114|Messier|Letang Clan Ain't Nothing To Puck With|1002.9|NR|NR|NR|NR
115|Howe|Angry Babcock|1002.6|NR|NR|NR|NR
116|Bourque|Karl Karlsson|1001.6|NR|NR|NR|NR
117|Eastern|Feel Like Malkin Love|997.25|NR|NR|NR|NR
118|Esposito|Blue&WhiteDisease|993.6|NR|NR|NR|NR
119|Esposito|Tiger Williams' Stick|993.0|NR|NR|NR|NR
120|Francis|What's the Maatta?|985.75|NR|NR|NR|NR
121|Western|Kneel Before Saad|984.9|NR|NR|NR|NR
122|Francis|A Soft Dump in the Corner|984.8|NR|NR|NR|NR
123|Sakic|Tuukka on Drums|983.95|NR|NR|NR|NR
124|Francis|Insane In The Duchene|982.95|NR|NR|NR|NR
125|Francis|MVPerry|978.9|NR|NR|NR|NR
126|Dionne|Bill Murray Fan Club|972.25|NR|NR|NR|NR
127|Western|Dany Heatley's Limo Service|971.4|NR|NR|NR|NR
128|Lemieux|Chi-town Lantanas|970.6|NR|NR|NR|NR
129|Esposito|Gary Lawless is a brilliant analyst|968.95|NR|NR|NR|NR
130|Dionne|DC Red Rockets|968.6|NR|NR|NR|NR
131|Yzerman|Century Mews|966.9|NR|NR|NR|NR
132|Roy|KitchRons|964.85|NR|NR|NR|NR
133|Bourque|More Power Plays Please|964.85|NR|NR|NR|NR
134|Gretzky|The Roughnecks|964.8|NR|NR|NR|NR
135|Sakic|KRUG-S-A|964.75|NR|NR|NR|NR
136|Yzerman|CCCP Fantasy Team|963.6|NR|NR|NR|NR
137|Sakic|Had Phaneuf|963.15|NR|NR|NR|NR
138|Western|I'm Subban at puns|961.2|NR|NR|NR|NR
139|Howe|Roy-Guy Races|955.35|NR|NR|NR|NR
140|Bourque|Don't Toews Me Bro!|955.25|NR|NR|NR|NR
141|Yzerman|Bad Religion|954.9|NR|NR|NR|NR
142|Lemieux|Whose Line is it Eberle?|953.8|NR|NR|NR|NR
143|Eastern|Sunnyvale Stars|952.8|NR|NR|NR|NR
144|Esposito|Kari On My Wayward Soul|947.8|NR|NR|NR|NR
145|Jagr|Slappa Voynov|946.65|NR|NR|NR|NR
146|Esposito|Howard you doing?|944.8|NR|NR|NR|NR
147|Sakic|Turris Trap|937.4|NR|NR|NR|NR
148|Jagr|Fugly, by Dustin|936.3|NR|NR|NR|NR
149|Esposito|Heatley Hits The Post!|935.9|NR|NR|NR|NR
150|Roy|Brad Medicine|929.5|NR|NR|NR|NR
151|Lemieux|Lehigh Valley Phantoms|928.75|NR|NR|NR|NR
152|Messier|The Wife Beaters.... Oops! Wrong Sport!|927.75|NR|NR|NR|NR
153|Gretzky|The Tavarsenal|924.1|NR|NR|NR|NR
154|Jagr|Ig It to Wig It|922.7|NR|NR|NR|NR
155|Western|Mikko Horny|922.35|NR|NR|NR|NR
156|Dionne|This Name Always Getzlaf|920.7|NR|NR|NR|NR
157|Roy|Acadian Fisherman|915.25|NR|NR|NR|NR
158|Yzerman|Jew Crew|913.9|NR|NR|NR|NR
159|Messier|Sotnos HC|904.65|NR|NR|NR|NR
160|Western|That Krug Really Tied the Room Together|904.2|NR|NR|NR|NR
161|Sakic|In Dubas We Trust|895.35|NR|NR|NR|NR
162|Roy|Bryz's Bears|894.05|NR|NR|NR|NR
163|Howe|Vanek at the Disco|893.9|NR|NR|NR|NR
164|Dionne|Gold is Yellow, not Beige|893.65|NR|NR|NR|NR
165|Bourque|Raisin' Kane|891.5|NR|NR|NR|NR
166|Yzerman|Heinz Tinned Toffoli|889.45|NR|NR|NR|NR
167|Sakic|Crosby Wears Jorts|886.55|NR|NR|NR|NR
168|Bourque|Is this basketball?|883.7|NR|NR|NR|NR
