###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Gretzky|Pimpin' Ain't Parise|3187.95
2|Brodeur|Cell Phones and Plane Tickets|3185.01
3|Roy|Oh The Places We'll Go!|3160.57
4|Jagr|pretty decent fantasy hockey team|3149.58
5|Hasek|Denim Chicken|3135.69
6|Bourque|The Good Times Are Killorn Me|3124.68
7|Sakic|Tomas Fleischlights|3119.33
8|Lemieux|The Ponies of Equestria|3087.41
9|Messier|Glengarry Glencross|3085.24
10|Francis|Rose City Sinners|3080.36
11|Coffey|Lubo Sucks|3062.72
12|Dionne|Finnishing Touch|3048.22
13|Roy|Hiller Invades Bolland|3047.64
14|Jagr|NO LEAFS!!|3037.07
15|Yzerman|Now Josi Me, Now You Don't|3014.69
16|Gretzky|Crosby-Laich-Boyes|3012.42
17|Dionne|Krieder Hard|3012.21
18|Hasek|Flying Zambonis|3006.96
19|Brodeur|KESSEL Me Babeh|2992.18
20|Howe|Mystic Coupons|2984.49
21|Gretzky|Tarasenkyu Very Much|2966.49
22|Roy|Trial By Thryr|2966.39
23|Bourque|Ginger Geesus's Grilled Cheeses|2960.67
24|Esposito|Yippee Oh Paille|2954.44
25|Dionne|Nash Rules Everything Around Me|2951.42
26|Gretzky|Tatar Tots|2928.47
27|Francis|Talk to me Goose|2920.63
28|Recchi|Mackinnon on your Girl|2915.31
29|Roy|Hertl Squad|2913.47
30|Sakic|Phaneuf Said|2913.05
31|Dionne|Glweebs|2906.59
32|Brodeur|Up and Around the Benn|2901.22
33|Gretzky|Nailing Yaks|2897.7
34|Roy|Mint Barrie Crunch!|2893.47
35|Lemieux|South City Squash|2891.71
36|Hasek|Zetterberg Curve|2887.53
37|Hasek|Toews'd & Kane-fused|2886.63
38|Jagr|The Tarasenkshow|2886.53
39|Howe|Wrath of Grapes|2885.86
40|Bourque|Kreid'in Dirty|2882.57
41|Jagr|falco1002|2872.9
42|Esposito|EXCELlent|2872.55
43|Gretzky|Tenacious Turtles|2871.77
44|Roy|What The Puck|2865.3
