###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Brodeur|Horton Hatches The Egg|215.87
2|Hasek|Hiller Did Nothing Wrong|211.08
3|Orr|Century Mews|210.74
4|Hasek|The Kessel Run|193.85
5|Gretzky|Do as I Seguin, Not as I Drouin|192.3
6|Lemieux|The aRISTOcrats|187.42
7|Jagr|Jarg 17-18|186.44
8|Roy|Josi's Story|185.23
9|Gretzky|Flying Zambonis|183.76
10|Dionne|NLF|181.83
11|Lidstrom|Not as Gudas I could be|181.65
12|Howe|Athanaseeyoul8er|179.93
13|Roy|Henrik & Gustav Go to Little Caesars|177.84
14|Yzerman|Democratic People's Republic of Kariya|175.11
15|Chelios|Why Not Zoidterberg|173.76
16|Leetch|The Zac Rinaldo All-Stars|173.63
17|Niedermayer|South Detroit Journeymen|173.58
18|Roy|Wrath of Joe McGrath|172.42
19|Roy|Nolan, this is Patrick|170.21
20|Jagr|Glatt Attack|169.93
21|Hasek|Good Kid, S.A.A.D City|169.05
22|Hasek|Don't Stop 'Til You Get Phaneuf|168.67
23|Yzerman|Benn there, Domi that|168.31
24|Yzerman|Vanek at the Disco|168.29
25|Pronger|Cake Eaters|167.94
26|Lidstrom|Crazy L Gorillas|167.5
27|Orr|Florida Skunk Apes|167.34
28|Dionne|Bergeron Burgundy|166.53
29|Lidstrom|Major Lazar|165.57
30|Yzerman|CTE|165.54
31|Chelios|Sean's Super Squad|164.8
32|Lemieux|Pickle Sunrise|164.43
33|Orr|Torts Reform|163.52
34|Niedermayer|ponch|163.2
35|Lemieux|The Fasth and the Furious|162.88
36|Brodeur|JewChooTrain|162.85
37|Gretzky|Getrektzky|162.67
38|Chelios|Pass the Dutchy to the Left|162.58
39|Bourque|The Great Wall Of St. Paul|162.4
40|Howe|San Jose Street Sharks|162.23
41|Dionne|Tarasenko de Mayo|161.85
42|Bourque|Flop to the top|161.51
43|Gretzky|Caketown|161.5
44|Pronger|Red Wing High Five|161.33
45|Orr|Mighty Red Pandas|161.23
46|Pronger|Drouin your mom|160.73
47|Jagr|Tokyo Sandblasters|160.51
48|Jagr|Athanasiou Later|160.24
49|Dionne|Team Ukraine|159.91
50|Lemieux|Up and Around the Benn|158.9
51|Lemieux|Look What Yeo Made Me Do|158.64
52|Lidstrom|Trocheck yourself, before you wreck yourself|158.41
53|Orr|2 Girls 1 Kopitar|158.28
54|Yzerman|Human Erasers|158.16
55|Chelios|Starship Troubas|157.75
56|Chelios|Puck Man|156.88
57|Roy|Tarasenkyu Very Much|156.72
58|Dionne|abcSpectacular|156.6
59|Lidstrom|Benn Dover|156.3
60|Dionne|Andre and the Goons|154.72
61|Chelios|The One You Love To Hate|154.58
62|Brodeur|RIP Heatley's Ferrari|153.94
63|Lemieux|Straight Cash Homie|153.87
64|Niedermayer|Blips and Chitz|153.7
65|Hasek|Drouin it Boeser|153.69
66|Leetch|Felix's Fist|153.61
67|Howe|Rumble Ponies|152.77
68|Roy|Bozak Yellow|152.61
69|Jagr|Hot Wing's All-Stars|152.52
70|Brodeur|Kreider Hard|152.29
71|Yzerman|Bar Down|152.23
72|Bourque|Pretty Fly|152.07
73|Brodeur|Glory Five-Hole|152.04
74|Yzerman|Mystic Coupons|152.03
75|Brodeur|King of the Kessel|151.91
76|Bourque|The Ghost of Mike Johnston's Power Play|151.5
77|Gretzky|Burns baby Burns|151.42
78|Leetch|Pens Perfect Picks|151.29
79|Brodeur|Dubinsky's Garage League|151.13
