###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Roy|Oh The Places We'll Go!|2745.51
2|Hasek|Denim Chicken|2739.79
3|Gretzky|Pimpin' Ain't Parise|2721.65
4|Jagr|pretty decent fantasy hockey team|2720.82
5|Lemieux|The Ponies of Equestria|2712.33
6|Brodeur|Cell Phones and Plane Tickets|2702.53
7|Coffey|Lubo Sucks|2691.82
8|Francis|Rose City Sinners|2688.99
9|Bourque|The Good Times Are Killorn Me|2685.33
10|Yzerman|Now Josi Me, Now You Don't|2664.86
11|Roy|Hiller Invades Bolland|2626.86
12|Dionne|Finnishing Touch|2625.13
13|Sakic|Tomas Fleischlights|2619.34
14|Jagr|NO LEAFS!!|2614.4
15|Dionne|Krieder Hard|2613.06
16|Bourque|Ginger Geesus's Grilled Cheeses|2612.64
17|Howe|Mystic Coupons|2605.98
18|Hasek|Flying Zambonis|2593.47
19|Gretzky|Tarasenkyu Very Much|2584.88
20|Messier|Glengarry Glencross|2576.56
21|Brodeur|KESSEL Me Babeh|2567.05
22|Gretzky|Tatar Tots|2565.11
23|Roy|Cloud Giroux|2564.85
24|Esposito|Yippee Oh Paille|2547.39
25|Roy|Hertl Squad|2546.64
26|Dionne|Dionamite Jones|2539.22
27|Gretzky|Crosby-Laich-Boyes|2518.46
28|Recchi|Mackinnon on your Girl|2517.46
29|Dionne|Nash Rules Everything Around Me|2515.64
30|Roy|Trial By Thryr|2515.53
31|Gretzky|Bieska and Lulongo|2510.6
32|Sakic|Phaneuf Said|2498.46
33|Hasek|Zetterberg Curve|2496.01
34|Howe|Wrath of Grapes|2486.6
35|Recchi|Dr. Draisaitl's Sick Beats|2481.78
36|Brodeur|Up and Around the Benn|2479.62
37|Jagr|falco1002|2477.68
38|Messier|The Jive Turkays|2477.53
39|Francis|Talk to me Goose|2476.4
40|Jagr|The Tarasenkshow|2473.8
41|Coffey|AGexpress|2472.41
42|Gretzky|Tenacious Turtles|2471.84
43|Gretzky|RIP Heatley's Ferrari|2471.6
44|Dionne|Glweebs|2470.06
45|Hasek|JewChooTrain|2466.83
46|Roy|Mint Barrie Crunch!|2462.93
47|Hasek|Toews'd & Kane-fused|2461.69
48|Lemieux|South City Squash|2457.94
49|Bourque|Kreid'in Dirty|2457.77
50|Roy|What The Puck|2451.56
51|Coffey|Cinnamon Toews Crunch|2450.5
52|Esposito|Eddie Lack's Corn Boats|2446.15
53|Messier|Crystal Lake Campers|2446.15
54|Dionne|KanesLifeMatters|2445.82
55|Gretzky|Frolunda HC|2443.7
56|Francis|Lou's Clues|2443.22
57|Sakic|Another Brick in the Roy|2441.96
58|Lemieux|Strokin' It|2440.87
59|Jagr|King of the Kessel|2437.73
60|Gretzky|Nailing Yaks|2435.26
61|Esposito|EXCELlent|2433.54
62|Brodeur|Promotion by Dropout|2431.48
63|Bourque|Penners house of pancakes|2427.37
64|Gretzky|Oshie & Him|2424.55
65|Jagr|Hash Hockey|2423.47
66|Francis|Defibrillators|2414.45
67|Roy|Neal Kari's Malkin|2407.57
68|Bourque|The Milk Drinkers|2407.57
69|Recchi|Cold As Ice|2406.76
