###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
1|Western|TBD-x|4205.55|NR|NR
2|Eastern|Big Man on Hampus-x|4185.4|NR|NR
3|Howe|Franzen-Abdelkader Weissbier|3969.75|NR|NR
4|Esposito|Pickle Sunrise-x|3966.35|NR|NR
5|Yzerman|Tenacious Turtles-x|3906.4|NR|NR
6|Yzerman|Phil 'em All-x|3850.55|NR|NR
7|Sakic|It's Benn A While|3831.75|NR|NR
8|Messier|Stalock Your Doors-x|3816.0|NR|NR
9|Western|Why The Lulooongo Face?-x|3791.65|NR|NR
10|Francis|Whoa Dere|3784.95|NR|NR
11|Roy|Fuzzy Orange Monster|3771.9|NR|NR
12|Gretzky|Nailing Yaks|3752.15|NR|NR
13|Lemieux|Daft Puck-x|3750.45|NR|NR
14|Gretzky|Pimpin' Ain't Parise|3747.1|NR|NR
15|Francis|Rubber Puckies|3742.4|NR|NR
16|Eastern|Team Name Here|3711.7|NR|NR
17|Lemieux|Skaggetorp HC-x|3700.5|NR|NR
18|Bourque|Toews'd & Kane-fused|3687.15|NR|NR
19|Western|Kwik-E-Mart Gougers|3678.15|NR|NR
20|Western|Tatar Tots|3674.15|NR|NR
21|Dionne|Starbelly Sneetches-x|3672.4|NR|NR
22|Jagr|Up and Around the Benn-x|3669.75|NR|NR
23|Gretzky|The People's Champion|3663.95|NR|NR
24|Jagr|Crosby Sweaters|3662.2|NR|NR
25|Esposito|The Next Jonathan Cheechoo|3661.9|NR|NR
26|Roy|Hanzal Job|3643.3|NR|NR
27|Eastern|Drouination|3639.5|NR|NR
28|Yzerman|The Red Hot Chilly Wings|3629.9|NR|NR
29|Howe|One Kessticles|3613.8|NR|NR
30|Eastern|Book Hockey-x|3613.05|NR|NR
31|Gretzky|bob says NYET|3612.95|NR|NR
32|Eastern|Superintendent of Danglebus|3610.05|NR|NR
33|Gretzky|Datsyukian Deke|3607.15|NR|NR
34|Gretzky|Bieska and Lulongo|3607.0|NR|NR
35|Roy|Kordic Korner|3600.95|NR|NR
36|Lemieux|Stockholm Hangpungs|3599.65|NR|NR
37|Gretzky|Frolunda HC|3595.2|NR|NR
38|Howe|Heil Sittler-x|3593.4|NR|NR
39|Dionne|Let Them Fight|3589.9|NR|NR
40|Esposito|Indianapolis Cardinals-x|3583.1|NR|NR
41|Roy|Mantha's Panthas|3572.1|NR|NR
42|Bourque|Licensed to Phil|3555.8|NR|NR
43|Messier|macerating toilet|3540.85|NR|NR
44|Roy|Wrath of Joe McGrath|3532.5|NR|NR
