###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**
:-:|:-:|:-:|:--|:--
128|Hasek|The Rickbreath 40-30s|469.1|NR
129|Gretzky|Book Hockey|469.03|NR
130|Hasek|Daft Puck|468.73|NR
131|Brodeur|Krejci Train|468.28|NR
132|Sakic|Mountain Dubinsky's|465.18|NR
133|Recchi|Shivakamini Somakandarkram|465.18|NR
134|Bourque|Penners house of pancakes|464.5|NR
135|Yzerman|Ain't no Hall or Backes girl|462.2|NR
136|Gretzky|Nailing Yaks|462.13|NR
137|Howe|Molemen|461.45|NR
138|Hasek|Toews'd & Kane-fused|460.9|NR
139|Yzerman|#STAMCOCK2016|459.18|NR
140|Esposito|EXCELlent|459.0|NR
141|Coffey|Cinnamon Toews Crunch|458.5|NR
142|Yzerman|Netflix and Phil|458.2|NR
143|Francis|Top Chetterberg|458.03|NR
144|Dionne|Letangarang|457.9|NR
145|Hasek|CTE|457.64|NR
146|Yzerman|Don't Toews Me Bro|457.12|NR
147|Yzerman|The Perry on Top|455.11|NR
148|Dionne|Otto Draft|454.84|NR
149|Dionne|Fighting MooseKnucklez|453.82|NR
150|Francis|Talk to me Goose|453.72|NR
151|Messier|Larkin in the Shadows|453.3|NR
152|Hasek|JewChooTrain|452.52|NR
153|Howe|South Detroit Journeymen|451.27|NR
154|Messier|GB Puckers|450.71|NR
155|Jagr|Tatartots|449.63|NR
156|Messier|The Mighty Red Pandas|449.3|NR
157|Dionne|Mill-e-wah-que|448.26|NR
158|Dionne|Glweebs|447.14|NR
159|Howe|Large Oreo McFleury|443.94|NR
160|Brodeur|Gay porn hard!|441.97|NR
161|Brodeur|blackandorangeblackandorange|441.73|NR
162|Messier|Oil Beef Hooked|438.84|NR
163|Francis|What's the Maatta?|437.78|NR
164|Esposito|Tatar Sauce|434.84|NR
165|Coffey|I Can Phil It In The Air Tonight|434.28|NR
166|Brodeur|That's What She Saad|434.27|NR
167|Brodeur|Let's Taco Bout Lack, Baby|433.35|NR
168|Roy|Neal Kari's Malkin|433.26|NR
169|Roy|What The Puck|430.12|NR
170|Sakic|Kane I Come Inside|429.94|NR
171|Bourque|Better Harder Faster Pronger|427.73|NR
172|Lemieux|Pastrnak the Purcell|426.33|NR
173|Lemieux|Dr. Peng's Army|423.87|NR
174|Recchi|Top Banter|423.0|NR
175|Hasek|Kurri Farts|422.84|NR
176|Roy|Pickle Sunrise|420.0|NR
177|Recchi|Mike Hunt|419.51|NR
178|Coffey|MikePiazza|419.34|NR
179|Howe|Capital Punishment|418.93|NR
180|Howe|Holy Goalie, Batman!|415.36|NR
181|Coffey|Slew Foot Syndicate|413.94|NR
182|Esposito|Neal's Knees|412.6|NR
183|Recchi|Carl Seguin|412.5|NR
184|Messier|Parenteau Guidance|411.21|NR
185|Esposito|In Mcdavid We Trust|410.33|NR
186|Yzerman|Hot Crosby's|410.3|NR
187|Sakic|Your Pun Sucks|409.89|NR
188|Yzerman|Troublemakers|405.22|NR
189|Jagr|Odd-man break|403.93|NR
190|Francis|Magic Slippery Stuff|402.71|NR
191|Esposito|Valdamikill|399.75|NR
192|Lemieux|The People's Front of Judea|399.59|NR
193|Coffey|Sutter's Sayings|395.47|NR
194|Yzerman|I don't know|395.03|NR
195|Howe|Good Kid, S.A.A.D City|394.75|NR
196|Messier|The Green Men's Eggos|394.26|NR
197|Messier|MIKE HASSELHOFFMAN|392.56|NR
198|Yzerman|2hot2yandle|392.43|NR
199|Recchi|Giroux've Got to Be Kidding Me|392.22|NR
200|Sakic|Gary Bettman Fan Club|384.61|NR
201|Dionne|Ice Roosters|383.61|NR
202|Bourque|Just the Tip|382.26|NR
203|Bourque|The Allen Johnsons Project|382.13|NR
204|Coffey|LGR|379.0|NR
205|Sakic|Ovechtrick|378.19|NR
206|Francis|Mud Dragons|376.54|NR
207|Dionne|Guardian of the Galaxy|374.41|NR
208|Howe|Fecal Falcons|368.44|NR
209|Lemieux|Crane Gang|362.27|NR
210|Francis|The Kessel Run|362.15|NR
211|Jagr|kaner? I barely know her!|361.68|NR
212|Coffey|Scranton Stranglers|360.55|NR
213|Coffey|Acadian Fisherman|359.43|NR
214|Messier|Pentium Dual-Corbs|357.2|NR
215|Yzerman|Taro's Tsujimotos|356.71|NR
216|Recchi|I'm Voodoo|354.87|NR
217|Dionne|cherub|353.63|NR
218|Esposito|Wu LeTang Clan|350.55|NR
219|Bourque|Crosby's Mayo Boy House|347.65|NR
220|Jagr|sanddemonn|336.9|NR
221|Messier|Seguin "Grassy Knoll" Snipers|331.85|NR
222|Lemieux|DID I S-S-SUTER?|328.48|NR
223|Howe|Blue & White Disease|323.34|NR
224|Francis|Fuzzy Orange Monster|277.59|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

