###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Jagr|watch your mouth|tooproforyou|3294.15
2|Gretzky|Tarasenkyu Very Much|ch1zzle|3243.4
3|Jones-Allen|Eat your Cale, kids|bruinhawks|3240.75
4|Yzerman|Bar Down|Minnesnota|3237.5
5|Gretzky|Getrektzky|Boboombang|3226.55
6|Jones-Allen|Raging Joner|onegaishimasu|3189.85
7|Jones-Allen|Gerald McBoing-Boing|Kattsumoto|3180.45
8|Lidstrom|Dubois are back in town.|BOBROVSKY|3161.3
9|Gretzky|Dude, Where's Makar?|SPRX97|3153.65
10|Dionne|Book Hockey|TwoPlanks|3151.2
11|Hasek|Wrath of Joe McGrath|LAGunsHockey|3130.4
12|Yzerman|NurseSharks|fidel-catstro|3096.7
13|Roy|"Life has Pastas By"|benzene96|3096.1
14|Dionne|Drunk Ovi|hotoatmeal|3070.55
15|Gretzky|https://streamable.com/73ksy|VoodooSteve|3065.15
16|Pronger|Chogoris White Scars|AngNazgul|3060.8
17|Yzerman|Koplin's Spartans|koplin|3054.25
18|Dionne|Hockey Style|tgmills|3053.9
19|Bourque|Big Daddy Wheels|Joel249|3049.7
20|Gretzky|Tkachuk Norris|Twitty|3042.8
21|Roy|Team Zissou|ska5fe|3039.5
22|Niedermayer|Bonafide Stallion|corvuskerst|3035.55
23|Chelios|Asston Mustachews|tom1251|3027.6
24|Roy|Hiroses for Hire|Howe_U_Doin|3020.45
25|Yzerman|Ovi O's|ShinyLeprechaun|3008.75
26|Hasek|Denim Chicken|sleeptalkerz|3007.95
27|Chelios|Dead Wings|piddles59|3006.4
28|Lidstrom|Oscar Meier Weiners|jsnow88|2998.9
29|Howe|Big Johnsons|barrill|2995.7
30|Jones-Allen|Hintz Me Baby One More Time|dkpatrick|2992.75
31|Howe|Almost Famous|aleski|2982.4
32|Orr|Ogie Ogilthorpe|marcram|2971.4
33|Leetch|Party Kane|selcio44|2969.6
34|Howe|GingaNinja3113's Team|GingaNinja3113|2960.75
35|Pronger|Putting On The Foil|Uncledonny|2960.15
36|Leetch|ZavCongratz|Wuibot|2955.3
37|Dionne|RalJTK's Team|RalJTK|2953.45
38|Gretzky|Licensed to Phil|ovorc|2947.4
39|Lemieux|Pepe Silvia|boywoods|2943.4
40|Gretzky|Lord Tavares, Master of Spiders|concini|2940.65
41|Hasek|Flying Zambonis|Cannon49|2936.15
42|Lemieux|BlizzNasty|ckroyal92|2935.3
43|Hasek|Democratic People's Republic of Kariya|kjohnm|2933.55
44|Lidstrom|Dude, Where's Makar?|PorcupineGuy|2928.3
45|Howe|No Reimer Reason|Tsunkatse|2928.15
46|Howe|Get CTE or Die Tryin|dorsia|2922.8
47|Leetch|Kb85's Team|Kb85|2918.4
48|Jones-Allen|Pimpin' Ain't Parise|Woppa|2916.5
49|Orr|Tokyo Sandblasters|phillyCHEEEEEZ|2910.7
50|Gretzky|bob says NYET|zachf13|2910.2
51|Leetch|Kurwa|Adzki|2909.5
52|Roy|All She Wants to Do Is Dansk|Kovellen|2905.1
53|Lidstrom|Josi and the pussy cats|BoardControl|2903.65
54|Gretzky|Kreider Hard|BluntForce19|2897.55
55|Leetch|panzon's Team|donats15|2896.75
56|Gretzky|Noddan HC|noddan|2893.75
57|Pronger|Whiskey Jacks|Thunder_Boy|2891.1
