###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**CUMULATIVE POINTS**
151|Sakic|Temple Of The Phil|110.8
152|Jagr|Oshie's Eleven|110.05
153|Dionne|Stars 'n Bars|109.95
154|Francis|Team Ramrod|109.45
155|Roy|Miller Time|109.4
156|Dionne|Names are hard|108.6
157|Howe|Multiple Scoregasms|108.2
158|Messier|Captain KLeonard's Crew|108.05
159|Francis|Cheli-O's|107.65
160|Roy|Mantha's Panthas|107.5
161|Dionne|Shivakamini Somakandarkram|107.45
162|Lemieux|Chi-town Lantanas|107.45
163|Messier|Eberle Hills 90210|107.35
164|Francis|The Fasth and Furious|107.15
165|Sakic|Puck Dynasty|105.75
166|Lemieux|LV Phantoms|105.6
167|Francis|Baby Got Backstrom|105.5
168|Yzerman|Jin Air Greenwings|104.95
169|Howe|Stomboned1|104.85
170|Esposito|Howard you doing?|103.9
171|Francis|Teenage Mutant Ninja Hertl|103.35
172|Esposito|What's for breakfast, Randy?|103.25
173|Bourque|More Power Plays Please|102.6
174|Francis|Rubber Puckies|102.4
175|Bourque|Twelve Parsecs|102.35
176|Howe|Puttin' On The Foil|101.8
177|Western|Dany Heatley's Limo Service|101.75
178|Dionne|Gold is Yellow, not Beige|100.45
179|Gretzky|Faceoff Ass Up|99.65
180|Messier|Change Later|99.55
181|Gretzky|The Tavarsenal|99.05
182|Lemieux|Vanek! at the Disco|98.55
183|Jagr|Holy Smokes Bettman!|97.3
184|Gretzky|Saad De Haan Job|97.15
185|Jagr|The Cake Eaters|96.8
186|Jagr|McTank|95.2
187|Jagr|Doan Cause Me Trouba|94.15
188|Dionne|Lehtinen No Goals|92.8
189|Yzerman|Tenacious Turtles|84.55
190|Sakic|In Dubas We Trust|83.4
191|Messier|The Unknowns|81.8
192|Dionne|Pick It Up, Put It Down|80.8
193|Sakic|Crosby Wears Jorts|78.2
194|Roy|ELB95|77.5
195|Lemieux|GiREKT|70.75
196|Bourque|Nightmare On Helm Street|64.3
-----

