###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
1|Eastern|Big Man on Hampus|3338.7|NR|NR
2|Western|TBD|3315.35|NR|NR
3|Howe|Franzen-Abdelkader Weissbier|3204.1|NR|NR
4|Yzerman|Tenacious Turtles|3152.65|NR|NR
5|Yzerman|Phil 'em All|3151.6|NR|NR
6|Messier|Stalock Your Doors|3129.45|NR|NR
7|Esposito|Pickle Sunrise|3126.4|NR|NR
8|Sakic|It's Benn A While|3110.1|NR|NR
9|Eastern|Team Name Here|3083.45|NR|NR
10|Francis|Whoa Dere|3063.1|NR|NR
11|Francis|Rubber Puckies|3038.55|NR|NR
12|Western|Why The Lulooongo Face?|3033.75|NR|NR
13|Lemieux|Skaggetorp HC|3026.05|NR|NR
14|Western|Kwik-E-Mart Gougers|3021.7|NR|NR
15|Gretzky|Datsyukian Deke|3020.95|NR|NR
16|Gretzky|Pimpin' Ain't Parise|3020.75|NR|NR
17|Lemieux|Daft Puck|3019.3|NR|NR
18|Jagr|Up and Around the Benn|3016.6|NR|NR
19|Gretzky|Nailing Yaks|3015.6|NR|NR
20|Bourque|Toews'd & Kane-fused|3014.85|NR|NR
21|Roy|Fuzzy Orange Monster|3011.85|NR|NR
22|Western|Tatar Tots|2985.95|NR|NR
23|Esposito|Indianapolis Cardinals|2980.05|NR|NR
24|Dionne|Let Them Fight|2962.2|NR|NR
25|Jagr|Crosby Sweaters|2961.3|NR|NR
26|Dionne|Starbelly Sneetches|2937.65|NR|NR
27|Esposito|The Next Jonathan Cheechoo|2936.85|NR|NR
28|Gretzky|The People's Champion|2934.85|NR|NR
29|Gretzky|Bieska and Lulongo|2932.05|NR|NR
30|Howe|One Kessticles|2930.2|NR|NR
31|Howe|Heil Sittler|2910.55|NR|NR
32|Gretzky|bob says NYET|2909.1|NR|NR
33|Eastern|Book Hockey|2908.25|NR|NR
34|Eastern|Superintendent of Danglebus|2904.8|NR|NR
35|Bourque|Licensed to Phil|2899.9|NR|NR
36|Eastern|Flying Zambonis|2884.25|NR|NR
37|Gretzky|Woppamaniacs!|2882.6|NR|NR
38|Roy|Kordic Korner|2881.35|NR|NR
39|Yzerman|The Red Hot Chilly Wings|2865.7|NR|NR
40|Eastern|Drouination|2864.7|NR|NR
41|Roy|Mantha's Panthas|2863.3|NR|NR
