###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Lemieux|The Ponies of Equestria|2112.99
2|Roy|Oh The Places We'll Go!|2085.61
3|Coffey|Lubo Sucks|2085.4
4|Francis|Rose City Sinners|2079.55
5|Jagr|NO LEAFS!!|2061.79
6|Jagr|pretty decent fantasy hockey team|2055.1
7|Dionne|Finnishing Touch|2049.44
8|Brodeur|Cell Phones and Plane Tickets|2046.48
9|Gretzky|Pimpin' Ain't Parise|2040.83
10|Hasek|Denim Chicken|2036.72
11|Roy|Hiller Invades Bolland|2028.45
12|Yzerman|Now Josi Me, Now You Don't|2007.08
13|Bourque|Ginger Geesus's Grilled Cheeses|2006.19
14|Dionne|Nash Rules Everything Around Me|2001.48
15|Dionne|Krieder Hard|2001.29
16|Roy|Cloud Giroux|1997.49
17|Roy|Hertl Squad|1990.45
18|Howe|Mystic Coupons|1986.07
19|Gretzky|Tatar Tots|1974.27
20|Bourque|The Good Times Are Killorn Me|1970.3
21|Dionne|Dionamite Jones|1968.19
22|Jagr|falco1002|1966.65
23|Gretzky|Tarasenkyu Very Much|1961.53
24|Sakic|Tomas Fleischlights|1957.83
25|Brodeur|Up and Around the Benn|1957.82
26|Roy|Mint Barrie Crunch!|1956.61
27|Bourque|The Milk Drinkers|1954.39
28|Hasek|JewChooTrain|1952.86
29|Hasek|Flying Zambonis|1944.87
30|Recchi|Dr. Draisaitl's Sick Beats|1943.22
31|Coffey|AGexpress|1942.92
32|Gretzky|Crosby-Laich-Boyes|1942.03
33|Gretzky|RIP Heatley's Ferrari|1936.76
34|Hasek|Zetterberg Curve|1931.45
35|Brodeur|KESSEL Me Babeh|1925.96
36|Francis|Lou's Clues|1923.95
37|Hasek|The Rickbreath 40-30s|1920.2
38|Francis|Talk to me Goose|1909.44
39|Esposito|Yippee Oh Paille|1908.39
40|Sakic|Phaneuf Said|1898.16
41|Yzerman|Duck Duck Nyquist|1895.41
42|Esposito|Hockey puns|1894.31
43|Bourque|Kreid'in Dirty|1891.67
44|Roy|Trial By Thryr|1887.45
45|Jagr|Hash Hockey|1887.42
46|Yzerman|Richers to Hags|1883.82
47|Gretzky|Frolunda HC|1879.25
48|Howe|MacDaddy|1877.46
49|Messier|The Jive Turkays|1875.7
50|Recchi|Mackinnon on your Girl|1875.29
51|Lemieux|Strokin' It|1872.03
52|Gretzky|Nailing Yaks|1872.02
53|Hasek|Toews'd & Kane-fused|1871.36
54|Howe|Wrath of Grapes|1869.94
55|Messier|Crystal Lake Campers|1869.47
56|Brodeur|Promotion by Dropout|1867.89
57|Esposito|Eddie Lack's Corn Boats|1867.72
58|Gretzky|Tenacious Turtles|1862.72
59|Jagr|King of the Kessel|1862.57
60|Brodeur|Bitch, Don't Phil My Vibe|1859.92
61|Recchi|Cold As Ice|1854.34
62|Jagr|The Tarasenkshow|1853.41
63|Recchi|Fussy Puckers|1851.74
64|Gretzky|Oshie & Him|1850.97
65|Francis|Defibrillators|1848.06
66|Yzerman|Ain't no Hall or Backes girl|1847.52
67|Messier|Glengarry Glencross|1845.03
