###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Gretzky|Noddan HC|noddan|4223.85
2|Roy|Staal It What You Want|akacesfan|4166.2
3|Gretzky|Tarasenkyu Very Much|ch1zzle|4098.75
4|Luuuuuuu|Licensed to Phil|ovorc|4086.05
5|Niedermayer|Seattle Marners|Rhyme-Thyme|4075.55
6|Hasek|Release the Kraken|RalJTK|4054.75
7|Lemieux|DingleBarrie's|jacouzzie|4034.55
8|Luuuuuuu|Flying Zambonis|Cannon49|4026.6
9|Jagr|Kane You Spare A Dollar|SPEMason|4026.1
10|Lemieux|No Reimer Reason|Tsunkatse|4015.35
11|Yzerman|Tenacious Turtles|dzibanche|4011.85
12|Gretzky|Josi's Story|SPRX97|4007.1
13|Gretzky|Eat your Cale, kids|bruinhawks|4004.75
14|Gretzky|Hockey Style|tgmills|3997.9
15|Hasek|Kansas City Redwings|sickboy1965|3987.75
16|Gretzky|Getrektzky|Boboombang|3983.85
17|Yzerman|Vancity Express|nickfrompitt|3983.5
18|Jagr|And A Seider Chips Please|GusZ|3981.9
19|Yzerman|falco1002|chaopw2010|3981.4
20|Roy|Chicken and Raffls|funkyquasar|3964.7
21|Hasek|While My Makar Gently Weeps|Kovellen|3959.95
22|Roy|Big Johnsons|barrill|3952.2
23|Dionne|So...Get On Your Way!|Kattsumoto|3939.5
24|Hasek|Pimpin' Ain't Parise|Woppa|3936.95
25|Yzerman|My Eks is Aho|mnm501288|3934.35
26|Jagr|Book Hockey|TwoPlanks|3920.05
27|Luuuuuuu|hotoatmeal|hotoatmeal|3917.85
28|Hasek|Putting On The Foil|Uncledonny|3911.25
29|Roy|Ogie Ogilthorpe|marcram|3908.75
30|Roy|Connor4Real|gumbosious|3904.0
31|Leetch|Make's High Lifes|Big_make|3903.65
32|Roy|Democratic People's Republic of Kariya|kjohnm|3892.95
33|Yzerman|Portland Buckaroos|TooManyPuppies|3878.6
34|Jagr|Solar Bears|friendo|3878.25
35|Luuuuuuu|Blue Lines Matter|PaperParrot|3866.2
36|Gretzky|Denim Chicken|sleeptalkerz|3865.05
37|Lidstrom|St. John's Shamrocks|BananApocalypse|3855.15
38|Dionne|The Ides of Marchand|CTonyJab|3854.7
39|Orr|Spaghetti Monsters|boombohn|3850.8
40|Dionne|How Are Ya Now?|Thomsco|3840.6
41|Lemieux|Steve's Spot|yoshirider2709|3832.85
42|Gretzky|Rust|benzene96|3827.55
43|Luuuuuuu|Five Hole Douches|Douche78|3824.75
44|Hasek|The Pius Goose|leapinliz|3823.3
45|Luuuuuuu|Cow Tipping Mafia|ImminentFate|3820.0
46|Gretzky|Kreider Hard|BluntForce19|3814.9
47|Gretzky|"The King's Spot"|DonPaita|3810.8
48|Gretzky|Hung out to Drai|concini|3807.3
49|Gretzky|Queen Anne's Lake Monsters|MWHazard|3806.85
50|Roy|Bluth's Bananas|zodiac33|3802.25
51|Luuuuuuu|Koplin's Spartans|koplin|3800.3
52|Luuuuuuu|Connor McDavid Had A Team EIEIO|hholysheet|3791.45
53|Gretzky|Pettersson Than Revenge|akacesfan|3786.9
54|Lidstrom|One Kessticles|maverickxm2|3777.65
