###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**League**|**TEAM**|**PF**
:-:|:-:|:-:|:--
1|Lidstrom|Jagr Bomb|3406.69
2|Lemieux|Alexander Radiculous' Team|3323.27
3|Gretzky|Horton Hears a Who!|3303.77
4|Brodeur|Lubo Sucks|3258.93
5|Dionne|Dumpster Fire Brigade|3243.64
6|Chelios|Snizzbone|3228.09
7|Yzerman|Damper Than Moist|3226.81
8|Leetch|Go Puck Yourself|3211.51
9|Roy|King of the Kessel|3166.27
10|Dionne|Ginger Geesus's Grilled Cheeses|3160.15
11|Gretzky|Nailing Yaks|3124.26
12|Chelios|Stan Mikita's Donuts|3123.27
13|Hasek|All Down The Laine|3117.47
14|Jagr|falco1002|3106.55
15|Gretzky|One Kessticles|3095.41
16|Leetch|Clemens HC|3086.24
17|Hasek|Everyone Poops|3085.71
18|Gretzky|Tarasenkyu Very Much|3080.13
19|Pronger|Bust a Kapanen|3076.55
20|Jagr|The Big Pavelski|3075.66
21|Hasek|NurseSharks|3068.65
22|Gretzky|Pimpin' Ain't Parise|3066.77
23|Lemieux|bob says NYET|3065.71
24|Pronger|Doughty Didn't Deserve The Norris|3052.82
25|Brodeur|Book Hockey|3050.96
26|Roy|Kreider Hard|3045.54
27|Roy|Btchz B Krejci|3040.69
28|Gretzky|Hiller Youth|3029.14
29|Lemieux|The Cake Eaters|3026.66
30|Brodeur|Mackinnon Out Burger|3019.27
31|Yzerman|Hattrick Pornqvist|3008.18
32|Jagr|Penners Pancakes|3002.82
33|Orr|Team North Americarambe|2996.96
34|Hasek|Pikachubban|2991.31
35|Brodeur|Parise Taught Me|2985.82
36|Hasek|Finnishing Touch|2979.98
37|Bourque|Bryan Rust and the Rusty Plugs|2974.72
38|Gretzky|Denim Chicken|2970.17
39|Yzerman|RIP Heatley's Ferrari|2969.54
40|Dionne|macerating toilet|2956.86
41|Orr|PassTheCulpepper|2956.37
42|Brodeur|Sheahan's Shillelaghs|2943.63
43|Bourque|Democratic People's Republic of Kariya|2943.56
44|Brodeur|Wrath of Joe McGrath|2939.0
45|Leetch|kyOh|2933.29
46|Howe|Giroux've Gotta Be Kidding Me!|2924.78
47|Lidstrom|The Larkness Monster|2923.39
48|Hasek|JewChooTrain|2922.92
49|Orr|Goaltender Interference|2919.88
50|Roy|Konecnywa|2919.54
51|Jagr|Sticks out for Harambe|2918.84
52|Gretzky|Frolunda HC|2913.69
53|Dionne|40-30 Grit Grinders|2893.64
54|Brodeur|Pickle High-Noon|2892.26
55|Niedermayer|St. John's Shamrocks|2890.16
56|Roy|Karl on my Wayward Sson|2876.31
57|Brodeur|Drouination|2874.08
58|Roy|Doan Look Backes|2872.17
59|Brodeur|Andre and the Goons|2869.77
60|Lemieux|Generic Hockey Pun|2858.0
61|Chelios|Benzene96|2857.05
62|Brodeur|Tarasenkyour Battleship|2855.12
63|Brodeur|Non-stop Saadomy|2853.3
64|Orr|Kessel's Cookie Jar|2848.01
65|Lidstrom|Ruh Oh...|2847.59
66|Roy|The Ides of Marchand|2846.39
67|Yzerman|Hash Hockey|2844.58
68|Jagr|Bar Down|2840.76
