###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--
78|Messier|Bar Down|1415.3|NR|NR|NR|NR|NR|NR
79|Jagr|Crosboner|1412.45|NR|NR|NR|NR|NR|NR
80|Western|Lindros' CTE|1410.5|NR|NR|NR|NR|NR|NR
81|Gretzky|Faceoff Ass Up|1407.0|NR|NR|NR|NR|NR|NR
82|Yzerman|Cookie Monsters|1404.25|NR|NR|NR|NR|NR|NR
83|Sakic|Temple Of The Phil|1402.5|NR|NR|NR|NR|NR|NR
84|Roy|Wrath of Joe McGrath|1393.05|NR|NR|NR|NR|NR|NR
85|Western|TeamNameRequired|1393.0|NR|NR|NR|NR|NR|NR
86|Yzerman|The Red Hot Chilly Wings|1391.3|NR|NR|NR|NR|NR|NR
87|Gretzky|Koekkoek for Cocoa Puffs|1390.8|NR|NR|NR|NR|NR|NR
88|Messier|Hash Hockey|1389.5|NR|NR|NR|NR|NR|NR
89|Howe|Angry Babcock|1389.35|NR|NR|NR|NR|NR|NR
90|Roy|Grapes of Rask|1383.05|NR|NR|NR|NR|NR|NR
91|Messier|Flop To The Top|1377.4|NR|NR|NR|NR|NR|NR
92|Gretzky|Frolunda HC|1374.95|NR|NR|NR|NR|NR|NR
93|Gretzky|The Roughnecks|1366.45|NR|NR|NR|NR|NR|NR
94|Messier|Eberle Hills 90210|1364.65|NR|NR|NR|NR|NR|NR
95|Jagr|The Cake Eaters|1362.7|NR|NR|NR|NR|NR|NR
96|Lemieux|Henrik's Hammers|1358.0|NR|NR|NR|NR|NR|NR
97|Jagr|Penners House of Pancakes|1352.6|NR|NR|NR|NR|NR|NR
98|Lemieux|Knuck If You Puck|1352.4|NR|NR|NR|NR|NR|NR
99|Dionne|Pick It Up, Put It Down|1351.85|NR|NR|NR|NR|NR|NR
100|Francis|Crosby Toews Nash|1348.1|NR|NR|NR|NR|NR|NR
101|Bourque|Budis|1346.75|NR|NR|NR|NR|NR|NR
102|Sakic|Voracek Park|1346.35|NR|NR|NR|NR|NR|NR
103|Yzerman|Krejci Train|1345.35|NR|NR|NR|NR|NR|NR
104|Yzerman|NyQuist on Helm Street|1344.4|NR|NR|NR|NR|NR|NR
105|Dionne|Shivakamini Somakandarkram|1344.2|NR|NR|NR|NR|NR|NR
106|Bourque|Don't Toews Me Bro!|1340.45|NR|NR|NR|NR|NR|NR
107|Lemieux|Kneel before Saad|1340.4|NR|NR|NR|NR|NR|NR
108|Dionne|Bolland for Columbine|1336.25|NR|NR|NR|NR|NR|NR
109|Esposito|Heatley Hits The Post!|1335.6|NR|NR|NR|NR|NR|NR
