###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Roy|Letangry Birds|russtyj|3857.76
2|Lidstrom|The Wrath of Grapes|PaperParrot|3748.7
3|Chelios|Bread winner|ripitup83|3683.05
4|Bourque|HBT|onegaishimasu|3664.02
5|Price-Murray|Jagged Little Phil|ovorc|3646.84
6|Price-Murray|Pimpin' Ain't Parise|Woppa|3641.83
7|Price-Murray|Dekeyser Wilhelm|sickboy1965|3637.9
8|Yzerman|Don't Give a Puck|bruinhawks|3619.25
9|Gretzky|...Leddy for It?|akacesfan|3601.06
10|Pronger|Ral|RalJTK|3587.94
11|Gretzky|#FreeWilly|SPRX97|3586.22
12|Gretzky|Tarasenkyu Very Much|ch1zzle|3569.91
13|Yzerman|South Detroit Journeymen|Scooterkid|3552.51
14|Gretzky|Shot Through The Reinhart|benzene96|3541.29
15|Hasek|Stammer's Whammers|concini|3539.32
16|Chelios|Rebels|Ragonster|3528.18
17|Gretzky|Like a Boeser|Boboombang|3503.31
18|Jagr|Team Name|ClayBeans|3500.12
19|Gretzky|Nailing Yaks|noddan|3481.75
20|Hasek|bob says NYET|zachf13|3474.37
21|Roy|Pucking Fricks|Red_Dragons|3468.7
22|Gretzky|Kreider Hard|BluntForce19|3463.99
23|Price-Murray|Cow Tipping Mafia|ImminentFate|3446.73
24|Chelios|Hockey Style|tgmills|3436.92
25|Roy|Wrath of Joe McGrath|LAGunsHockey|3436.2
26|Gretzky|Denim Chicken|sleeptalkerz|3434.91
27|Hasek|Tenacious Turtles|dzibanche|3413.41
28|Pronger|woppaspoppa|tooproforyou|3412.66
29|Lemieux|Hayzer|Hayzer13|3407.54
30|Leetch|Aggressive Pinching|Advdino|3401.58
31|Howe|Feel the Burns|Beaups|3392.09
32|Hasek|Ruutu to Tootoo|DonPaita|3391.35
33|Price-Murray|https://streamable.com/iva1g|VoodooSteve|3388.57
34|Price-Murray|Democratic People's Republic of Kariya|kjohnm|3385.77
35|Jagr|Blind, Deaf, and Dumba|SimpsonN1nja|3375.18
36|Hasek|Benn Laden|SPEMason|3372.31
37|Leetch|Five hole douches|Douche78|3372.21
38|Howe|The Bottle Police|Ned98|3352.38
39|Hasek|Team Zazu|boywoods|3350.71
40|Bourque|TeamNameRequired|birdrib|3345.46
41|Howe|Hypnotoads|elbowes|3340.9
42|Bourque|Phil and Sid's Excellent Adventure|GingaNinja3113|3340.57
43|Niedermayer|Koplin's Spartans|koplin|3339.79
44|Howe|MacKinnon Ur Girl.|wtfover021|3339.57
45|Hasek|Bluth's Bananas|zodiac33|3336.51
46|Lemieux|Gritty's Goon Squad|Coyle1096|3336.39
47|Lemieux|Mystic Coupons|tweedledunn|3333.41
48|Lemieux|Insert Hockey Pun Here|StuffAndMore|3329.78
49|Roy|Kling of the Hill|dkpatrick|3323.98
50|Lidstrom|Nylander II: The Quickening|yaheardwperd|3317.73
51|Niedermayer|Guy that yells shoot on the powerplay|xacex|3317.04
52|Dionne|Don't Fehr the Reaper|RBHoneyBadger|3309.03
53|Niedermayer|Air Canada|yams18|3301.46
54|Lidstrom|Jagrmeister|Bearchrist|3297.86
55|Chelios|Its A Jukebox Jerry|Gfxprotege|3296.96
56|Orr|same old sh1t, ya know?|JayWilly|3288.48
57|Price-Murray|The Larkness Monster|RonDC30|3287.44
58|Yzerman|So Gritty|MorphineSmile|3286.56
59|Yzerman|falco1002|chaopw2010|3276.04
60|Yzerman|Churchmoor Caterpies|LtGerbil|3270.43
61|Dionne|Drunk Shenanigans|xMrSleepyx|3270.25
62|Jagr|Starship Troubas|LesVlads|3266.57
63|Leetch|twinsora|kyriosa|3263.4
64|Yzerman|Divorced Guys|bruceitup|3256.85
65|Hasek|Ken Holland Sucks|Howe_U_Doin|3251.13
66|Roy|Drunk Ovi|hotoatmeal|3245.04
67|Pronger|Benn And The Jets|slaw47|3243.73
68|Yzerman|BlizzNasty|ckroyal92|3239.32
69|Hasek|Unhealthy Scratches|aleski|3224.29
70|Lemieux|JewChooTrain|JewChooTrain|3223.59
71|Jagr|Toews'd & Kane-fused|rocking2rush10|3219.44
