###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Roy|Letangry Birds|russtyj|1617.47
2|Pronger|Ral|RalJTK|1565.8
3|Bourque|HBT|onegaishimasu|1555.01
4|Lidstrom|The Wrath of Grapes|PaperParrot|1551.22
5|Price-Murray|Jagged Little Phil|ovorc|1539.8
6|Jagr|Starship Troubas|LesVlads|1534.16
7|Yzerman|Don't Give a Puck|bruinhawks|1527.05
8|Yzerman|South Detroit Journeymen|Scooterkid|1519.02
9|Gretzky|Shot Through The Reinhart|benzene96|1514.79
10|Roy|Pucking Fricks|Red_Dragons|1509.82
11|Price-Murray|Pimpin' Ain't Parise|Woppa|1508.2
12|Gretzky|#FreeWilly|SPRX97|1506.71
13|Chelios|Rebels|Ragonster|1506.02
14|Gretzky|Denim Chicken|sleeptalkerz|1503.99
15|Hasek|Benn Laden|SPEMason|1493.89
16|Lemieux|Insert Hockey Pun Here|StuffAndMore|1492.38
17|Chelios|Bread winner|ripitup83|1484.73
18|Hasek|Tenacious Turtles|dzibanche|1470.33
19|Bourque|TeamNameRequired|birdrib|1468.68
20|Jagr|Team Name|ClayBeans|1468.4
21|Pronger|woppaspoppa|tooproforyou|1467.31
22|Lemieux|Gritty's Goon Squad|Coyle1096|1466.94
23|Jagr|Toews'd & Kane-fused|rocking2rush10|1463.5
24|Gretzky|...Leddy for It?|akacesfan|1462.43
25|Gretzky|Like a Boeser|Boboombang|1460.92
26|Gretzky|Tarasenkyu Very Much|ch1zzle|1443.54
27|Niedermayer|Air Canada|yams18|1442.92
28|Hasek|bob says NYET|zachf13|1442.91
29|Price-Murray|https://streamable.com/iva1g|VoodooSteve|1440.41
30|Price-Murray|Dekeyser Wilhelm|sickboy1965|1439.18
31|Hasek|Team Zazu|boywoods|1438.96
32|Price-Murray|Cow Tipping Mafia|ImminentFate|1437.52
33|Bourque|Phil and Sid's Excellent Adventure|GingaNinja3113|1436.14
34|Howe|The Bottle Police|Ned98|1435.25
35|Lidstrom|Jagrmeister|Bearchrist|1426.99
36|Howe|MacKinnon Ur Girl.|wtfover021|1424.05
37|Gretzky|Kreider Hard|BluntForce19|1424.0
38|Roy|Kling of the Hill|dkpatrick|1418.69
39|Leetch|twinsora|kyriosa|1414.57
40|Howe|Hypnotoads|elbowes|1412.03
41|Roy|Drunk Ovi|hotoatmeal|1405.07
42|Howe|Feel the Burns|Beaups|1403.77
43|Lemieux|Hayzer|Hayzer13|1403.24
44|Niedermayer|Koplin's Spartans|koplin|1401.75
45|Yzerman|Churchmoor Caterpies|LtGerbil|1398.37
46|Chelios|Hockey Style|tgmills|1394.91
47|Leetch|Aggressive Pinching|Advdino|1394.61
48|Yzerman|Pierre Dorion's All Stars|MackLoud|1393.14
49|Hasek|Ken Holland Sucks|Howe_U_Doin|1393.12
50|Niedermayer|Multiple Scorgasms|randomsportsfan|1391.57
51|Gretzky|I'm Waiting For The Man-chuk|Kovellen|1389.25
52|Price-Murray|Democratic People's Republic of Kariya|kjohnm|1388.59
53|Chelios|Its A Jukebox Jerry|Gfxprotege|1385.88
54|Yzerman|falco1002|chaopw2010|1385.44
55|Price-Murray|Btchz B Krejci|3LaWs-S4fe|1383.72
56|Gretzky|Nailing Yaks|noddan|1383.49
57|Jagr|40-30 Grit Grinders|NoRelationWayne|1380.77
58|Dionne|Don't Fehr the Reaper|RBHoneyBadger|1377.43
59|Hasek|GRITTY IS THE GREATEST MASCOT OF ALL TIME|dorsia|1376.25
60|Niedermayer|Everyday I'm Byfuglien|piddles59|1375.63
61|Jagr|Blind, Deaf, and Dumba|SimpsonN1nja|1372.19
62|Lemieux|Connorrhea|windjackass|1371.76
63|Yzerman|Divorced Guys|bruceitup|1367.65
64|Yzerman|So Gritty|MorphineSmile|1366.43
65|Price-Murray|Bar Down|Minnesnota|1366.12
66|Roy|Wrath of Joe McGrath|LAGunsHockey|1363.54
