###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Roy|Letangry Birds|russtyj|4679.41
2|Bourque|HBT|onegaishimasu|4469.86
3|Yzerman|Don't Give a Puck|bruinhawks|4460.56
4|Price-Murray|Dekeyser Wilhelm|sickboy1965|4436.88
5|Lidstrom|The Wrath of Grapes|PaperParrot|4431.88
6|Price-Murray|Pimpin' Ain't Parise|Woppa|4363.91
7|Chelios|Bread winner|ripitup83|4346.97
8|Gretzky|...Leddy for It?|akacesfan|4344.45
9|Gretzky|Tarasenkyu Very Much|ch1zzle|4335.96
10|Price-Murray|Jagged Little Phil|ovorc|4333.32
11|Hasek|Stammer's Whammers|concini|4331.17
12|Yzerman|South Detroit Journeymen|Scooterkid|4301.92
13|Chelios|Rebels|Ragonster|4295.19
14|Gretzky|Like a Boeser|Boboombang|4254.38
15|Gretzky|#FreeWilly|SPRX97|4250.43
16|Gretzky|Shot Through The Reinhart|benzene96|4223.24
17|Gretzky|Denim Chicken|sleeptalkerz|4214.3
18|Pronger|Ral|RalJTK|4213.11
19|Pronger|woppaspoppa|tooproforyou|4171.96
20|Jagr|Team Name|ClayBeans|4170.3
21|Price-Murray|Democratic People's Republic of Kariya|kjohnm|4159.64
22|Gretzky|Nailing Yaks|noddan|4157.96
23|Gretzky|Kreider Hard|BluntForce19|4148.02
24|Lidstrom|Nylander II: The Quickening|yaheardwperd|4147.8
25|Hasek|bob says NYET|zachf13|4146.29
26|Price-Murray|Cow Tipping Mafia|ImminentFate|4143.21
27|Lemieux|Hayzer|Hayzer13|4140.21
28|Price-Murray|https://streamable.com/iva1g|VoodooSteve|4126.98
29|Chelios|Hockey Style|tgmills|4114.3
30|Hasek|Tenacious Turtles|dzibanche|4105.63
31|Roy|Wrath of Joe McGrath|LAGunsHockey|4103.64
32|Roy|Pucking Fricks|Red_Dragons|4084.25
33|Leetch|Aggressive Pinching|Advdino|4067.95
34|Niedermayer|Koplin's Spartans|koplin|4062.73
35|Leetch|Five hole douches|Douche78|4060.23
36|Lemieux|Mystic Coupons|tweedledunn|4051.65
37|Hasek|Benn Laden|SPEMason|4040.56
38|Howe|The Bottle Police|Ned98|4028.14
39|Yzerman|falco1002|chaopw2010|4019.27
40|Jagr|Blind, Deaf, and Dumba|SimpsonN1nja|4014.74
41|Howe|Feel the Burns|Beaups|4005.86
42|Yzerman|Divorced Guys|bruceitup|4004.98
43|Hasek|Ken Holland Sucks|Howe_U_Doin|4004.8
44|Lemieux|Insert Hockey Pun Here|StuffAndMore|3998.48
45|Dionne|Drunk Shenanigans|xMrSleepyx|3994.45
46|Pronger|Benn And The Jets|slaw47|3992.79
47|Howe|Hypnotoads|elbowes|3986.12
48|Roy|Drunk Ovi|hotoatmeal|3974.62
49|Pronger|Mojongles|ShinyLeprechaun|3974.59
50|Hasek|Bluth's Bananas|zodiac33|3973.77
51|Lidstrom|Jagrmeister|Bearchrist|3971.79
52|Hasek|Unhealthy Scratches|aleski|3967.72
53|Howe|MacKinnon Ur Girl.|wtfover021|3953.02
54|Roy|Star-Burns|mnm501288|3945.82
55|Hasek|Ruutu to Tootoo|DonPaita|3942.78
56|Bourque|TeamNameRequired|birdrib|3935.96
57|Bourque|Phil and Sid's Excellent Adventure|GingaNinja3113|3931.12
58|Roy|Kling of the Hill|dkpatrick|3926.95
59|Niedermayer|Air Canada|yams18|3924.95
60|Price-Murray|Bar Down|Minnesnota|3912.45
61|Leetch|twinsora|kyriosa|3911.7
62|Gretzky|I'm Waiting For The Man-chuk|Kovellen|3910.67
63|Jagr|Toews'd & Kane-fused|rocking2rush10|3905.34
64|Jagr|Starship Troubas|LesVlads|3904.72
65|Yzerman|Churchmoor Caterpies|LtGerbil|3903.77
66|Lemieux|Syracuse Bulldogs|Orbalisk|3902.91
67|Lemieux|Gritty's Goon Squad|Coyle1096|3898.13
68|Roy|Divorced Men|yourmomcantspel|3895.84
69|Hasek|Team Zazu|boywoods|3891.83
70|Price-Murray|Btchz B Krejci|3LaWs-S4fe|3887.67
71|Yzerman|So Sh!tty|MorphineSmile|3886.24
72|Dionne|Don't Fehr the Reaper|RBHoneyBadger|3882.66
73|Jagr|Team Zissou|ska5fe|3882.6
74|Yzerman|BlizzNasty|ckroyal92|3880.41
75|Hasek|GRITTY IS THE GREATEST MASCOT OF ALL TIME|dorsia|3880.2
76|Hasek|Flying Zambonis|Cannon49|3876.26
77|Lemieux|JewChooTrain|JewChooTrain|3876.09
78|Gretzky|One Kessticles|maverickxm2|3863.87
79|Bourque|CTE|turtmcgirt|3861.74
80|Jagr|40-30 Grit Grinders|NoRelationWayne|3850.74
81|Chelios|Its A Jukebox Jerry|Gfxprotege|3846.59
82|Orr|same old sh1t, ya know?|JayWilly|3843.9
83|Niedermayer|Guy that yells shoot on the powerplay|xacex|3841.49
84|Roy|Karlsson sucks anyways|Twitty|3841.29
85|Price-Murray|The Larkness Monster|RonDC30|3839.33
86|Price-Murray|Double Bennetration|The_Irelander|3831.13
87|Price-Murray|Big Johnsons|barrill|3828.18
88|Lidstrom|Dumpster Fire Brigade|paularlington|3817.01
89|Gretzky|T.Hall & A.Oates|PieRhett|3816.99
90|Howe|King of Rags|Georgiewho|3812.38
91|Roy|Up and Around the Benn|jagoe_unchained|3806.76
92|Hasek|The Cake Eaters|KyleCamelot|3792.25
93|Orr|Aslan the Lion|LeiHolGos|3785.36
94|Pronger|Lokomotiv|Topfuel|3781.26
