###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
110|Lidstrom|Soo Greyhounds|MarcBergevin|895.6
111|Hasek|The Larkness Monster|RonDC30|894.8
112|Howe|Zwuibot's revenge tour|Wuibot|894.6
113|Niedermayer|Hughes Over  Kakko|Zachw0223|894.3
114|Yzerman|Fargo Frostbite|HuskerVol716|894.0
115|Bourque|Ron France|Bippelog97|891.15
116|Gretzky|Tkachuk Norris|Twitty|890.2
117|Pronger|North Dakota Fanning Sioux|DMVPensFan|889.55
118|Yzerman|Dangletangs VII|biggy_dooberman|888.3
119|Dionne|bradisrad|Bradisrad|888.25
120|Freddie-Hutton|No Regretzkys!|The_Irelander|882.8
121|Bourque|Stammer Time|GatorDave15|877.9
122|Pronger|Two Tone Tounge Ticklers|Earlthegoat|875.2
123|Hasek|Frolunda HC|FCBcn19|873.5
124|Howe|Penners House of Pancakes|Ebuff89|872.3
125|Dionne|The Official Ken Klee Fan Club™|MackLoud|871.95
126|Chelios|Innisfail ScreamingMemes|ThePigMan|871.55
127|Lemieux|Death Metal Ducks|ANADucks98|869.15
128|Dionne|Toronto Trash Pandas|Adzki|866.45
129|Chelios|Letterkenny Shamrocks|ShDynastyCC|866.1
130|Leetch|Minnesota Mayhem|Mrhawke19|865.0
131|Yzerman|Schwartzhanded|NoRelationWayne|860.5
132|Howe|Churchmoor Caterpies|LtGerbil|860.4
133|Lidstrom|Bettman Returns|Kiwsu|857.6
134|Dionne|Do Josi What I See|DreDay084|857.25
135|Lemieux|McFleurys|StuffAndMore|856.5
136|Bourque|Weiss Guys|GusZ|856.15
137|Orr|Jepeetos|Jepeeto|854.95
138|Dionne|Teenage Mutant Ninja Hertl|SimpsonN1nja|854.75
139|Roy|Big Dumb Jerks|slaw47|854.3
140|Pronger|Pretend this is a good team name|joshewa|854.25
141|Hasek|Pucking Fricks|Red_Dragons|851.95
142|Jagr|Bunch of Kunitz|yalittlehip|845.75
143|Chelios|Drop The Gloves|DropTheGloves|845.75
144|Niedermayer|Zuckie's Cookies|Daschn|844.75
145|Yzerman|Five Hole Douches|Douche78|843.95
146|Pronger|Pistol Peteys|BigBurd|843.1
147|Chelios|OhOhOh its Mrazek|Sam1208|842.6
148|Lemieux|Bauer's Hacksaw|DrJackBauer|841.1
149|Yzerman|Ponch|ponch101|840.8
150|Bourque|Darkwing Puck|ColumnarPower|837.5
151|Bourque|Camp McDavid|warofthewrens|836.95
152|Jagr|Mantha's Marauders|Azotherian|836.25
153|Leetch|One Knight in Vegas|Schenley|834.2
154|Pronger|Vancity Grit Grinders|nickfrompitt|834.15
155|Jagr|Lock Monsters|ksteadsrus|833.5
156|Bourque|Honey Nut Chelios|Kryptycc|827.7
157|Chelios|WhoseLineIsItEberle|antaresiv|827.65
158|Roy|Whats the Yams?|yams18|825.65
159|Lidstrom|Optimal Hunter|Optimal_Hunter|825.2
160|Niedermayer|Moncton HABS|habs33|823.3
161|Howe|JewChooTrain|JewChooTrain|822.65
162|Jagr|Crab Hockey|Take Over|819.4
163|Jagr|Tokyo Sandblasters|phillyCHEEEEEZ|819.35
164|Jagr|Bk1689s Team|Bk1689|818.7
165|Chelios|BradMarchandsBigNose|Moogs1|818.4
166|Yzerman|CuJo31|CuJo31|816.3
167|Lidstrom|Don'tCryForMeJanHrdina|MrMikeySanz|816.05
168|Pronger|Smiling Goats|SmilingGoat|813.5
169|Pronger|St. John Drive|gmack3|812.1
170|Leetch|PARTY KANE|MeanMatt|811.7
171|Lemieux|Hall and Adam Oates|mendeleev79|809.0
172|Bourque|Letterkenny Irish|D0WNW4rD|807.95
173|Pronger|Gettin' Gritty Wit It|Redbeard11|806.15
174|Pronger|Generic Team Name|baileyj15|803.05
175|Niedermayer|Mac to the Future |laurenvs1|802.45
176|Leetch|Bitches Be Krejci|sully6210|800.2
177|Lidstrom|Wizardous Sedinery|popquiz_hotshot|797.1
178|Lidstrom|Goaltender Interference|redwings969|790.9
179|Howe|saint bergeron|east12|790.8
180|Bourque|Nothing Really Matthews|Berggren|790.0
181|Lidstrom|TRUE GRIT|stinkus1|789.7
182|Bourque|Torts Reform|hockeyisgood|784.3
183|Lidstrom|Dzingel Berries|Biscotti|776.9
184|Hasek|YourMomCantSpell|yourmomcantspel|776.35
185|Yzerman|Panzon's Team|donats15|775.95
186|Chelios|Breaking Saad|SergeantBBQ|775.4
187|Roy|Oh, The Thinks You Can Think!|Kattsumoto|775.25
188|Howe|Second Season Stumblers|Zetterburger|772.4
189|Niedermayer|Oh N'Oshie Didn't|Vorrigan|771.35
190|Niedermayer|Gordon's Bomb Bay Doors|TwoFishFlavors|769.25
191|Jagr|Springfield Tire Fires|bv310|761.05
192|Lidstrom|Revenge of the Gritty|yoshirider2709|760.8
193|Orr|Belmonites|OkPineapple|760.05
194|Lemieux|Saint Patrice|corvuskerst|745.95
195|Pronger|Green Bastards|RandysGut|739.1
196|Lemieux|CTE (yeah you know me)|turtmcgirt|737.45
197|Orr|Michigan Ice Mice|cjwolf24|724.05
198|Chelios|JacketsMan69|JSAKelley2|718.0
199|Dionne|That's a Load of Jarnkrok|Scrunts23|713.6
200|Lemieux|MacKinnon Ur Girl.|wtfover021|712.25
201|Niedermayer|Hockey Team|laslopaniflex|711.8
202|Chelios|17 Seconds|blackdragon1628|706.9
203|Orr|Breaking Ladd|Take Over|706.4
204|Jagr|Hayzer|Hayzer13|699.85
205|Orr|From Russia with Pucks|mf9769|690.35
206|Leetch|You Malkin to Me?|tjwolf35|688.45
207|Leetch|Keep Kadri-ming|abcSpectacular|685.9
208|Dionne|Kool Krabs|KoolKrab|680.1
209|Leetch|nose face killah|kvcherov|679.95
210|Chelios|C-A-P-S|Chimpo85|671.8
211|Yzerman|Letterkenny Irish|GingaNinja3113|667.8
