###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**
:-:|:-:|:-:|:--|:--|:--|:--
104|Sakic|Jump Over the Hertl|837.1|NR|NR|NR
105|Gretzky|Frolunda HC|836.9|NR|NR|NR
106|Esposito|Bearden Holtby|836.5|NR|NR|NR
107|Esposito|Blue&WhiteDisease|834.9|NR|NR|NR
108|Francis|What's the Maatta?|830.8|NR|NR|NR
109|Sakic|Keep Calm and Bergeron|828.8|NR|NR|NR
110|Francis|Insane In The Duchene|828.05|NR|NR|NR
111|Gretzky|Saad De Haan Job|827.9|NR|NR|NR
112|Howe|Roy-Guy Races|827.25|NR|NR|NR
113|Yzerman|Century Mews|826.95|NR|NR|NR
114|Jagr|Penners House of Pancakes|826.4|NR|NR|NR
115|Bourque|Budis|825.15|NR|NR|NR
116|Western|I'm Subban at puns|823.4|NR|NR|NR
117|Sakic|Tuukka on Drums|820.2|NR|NR|NR
118|Gretzky|Faceoff Ass Up|819.0|NR|NR|NR
119|Yzerman|The Red Hot Chilly Wings|818.2|NR|NR|NR
120|Messier|Letang Clan Ain't Nothing To Puck With|815.7|NR|NR|NR
121|Bourque|More Power Plays Please|814.7|NR|NR|NR
122|Dionne|Bill Murray Fan Club|812.3|NR|NR|NR
123|Francis|MVPerry|811.8|NR|NR|NR
124|Howe|Saints and Sinners|810.75|NR|NR|NR
125|Jagr|Slappa Voynov|810.6|NR|NR|NR
126|Western|Dany Heatley's Limo Service|809.95|NR|NR|NR
127|Bourque|Don't Toews Me Bro!|809.45|NR|NR|NR
128|Sakic|KRUG-S-A|805.5|NR|NR|NR
129|Esposito|Gary Lawless is a brilliant analyst|805.5|NR|NR|NR
130|Yzerman|Bad Religion|804.2|NR|NR|NR
131|Lemieux|Henrik's Hammers|803.4|NR|NR|NR
132|Lemieux|Kneel before Saad|801.4|NR|NR|NR
133|Howe|Angry Babcock|800.2|NR|NR|NR
134|Western|Kneel Before Saad|799.05|NR|NR|NR
