###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Jagr|watch your mouth|tooproforyou|3068.85
2|Gretzky|Getrektzky|Boboombang|3006.15
3|Jones-Allen|Eat your Cale, kids|bruinhawks|2992.6
4|Gretzky|Tarasenkyu Very Much|ch1zzle|2989.85
5|Jones-Allen|Raging Joner|onegaishimasu|2984.3
6|Yzerman|Bar Down|Minnesnota|2973.3
7|Jones-Allen|Gerald McBoing-Boing|Kattsumoto|2972.1
8|Dionne|Book Hockey|TwoPlanks|2955.0
9|Lidstrom|Dubois are back in town.|BOBROVSKY|2913.45
10|Gretzky|Dude, Where's Makar?|SPRX97|2912.95
11|Hasek|Wrath of Joe McGrath|LAGunsHockey|2884.45
12|Yzerman|Koplin's Spartans|koplin|2878.65
13|Dionne|Drunk Ovi|hotoatmeal|2876.4
14|Roy|"Life has Pastas By"|benzene96|2875.4
15|Yzerman|NurseSharks|fidel-catstro|2869.85
16|Gretzky|https://streamable.com/73ksy|VoodooSteve|2859.85
17|Gretzky|Tkachuk Norris|Twitty|2844.4
18|Hasek|Denim Chicken|sleeptalkerz|2836.25
19|Niedermayer|Bonafide Stallion|corvuskerst|2828.85
20|Roy|Hiroses for Hire|Howe_U_Doin|2825.6
21|Chelios|Asston Mustachews|tom1251|2823.85
22|Pronger|Chogoris White Scars|AngNazgul|2816.4
23|Chelios|Dead Wings|piddles59|2816.3
24|Dionne|Hockey Style|tgmills|2810.45
25|Lidstrom|Oscar Meier Weiners|jsnow88|2810.3
26|Bourque|Big Daddy Wheels|Joel249|2798.4
27|Yzerman|Ovi O's|ShinyLeprechaun|2796.2
28|Roy|Team Zissou|ska5fe|2794.1
29|Howe|GingaNinja3113's Team|GingaNinja3113|2784.0
30|Pronger|Putting On The Foil|Uncledonny|2779.05
31|Howe|Almost Famous|aleski|2778.05
32|Lemieux|BlizzNasty|ckroyal92|2771.2
33|Jones-Allen|Hintz Me Baby One More Time|dkpatrick|2767.3
34|Orr|Ogie Ogilthorpe|marcram|2753.35
35|Leetch|ZavCongratz|Wuibot|2748.15
36|Leetch|Kb85's Team|Kb85|2743.0
37|Leetch|Party Kane|selcio44|2740.6
38|Gretzky|Licensed to Phil|ovorc|2739.8
39|Howe|Get CTE or Die Tryin|dorsia|2736.3
40|Howe|Big Johnsons|barrill|2736.05
41|Gretzky|Lord Tavares, Master of Spiders|concini|2732.8
42|Hasek|Flying Zambonis|Cannon49|2731.0
43|Lidstrom|Dude, Where's Makar?|PorcupineGuy|2723.0
44|Bourque|Just Winging It|DeepFriedGoose|2720.6
45|Lemieux|Pepe Silvia|boywoods|2715.2
46|Howe|No Reimer Reason|Tsunkatse|2712.25
47|Orr|Tokyo Sandblasters|phillyCHEEEEEZ|2710.6
48|Yzerman|The Larkness Monster|RonDC30|2705.05
49|Gretzky|Noddan HC|noddan|2702.2
50|Dionne|RalJTK's Team|RalJTK|2701.55
51|Lidstrom|you're back on the force, bobrovsky|thescientist120|2697.9
52|Pronger|Whiskey Jacks|Thunder_Boy|2696.75
53|Gretzky|bob says NYET|zachf13|2694.8
54|Jones-Allen|Pimpin' Ain't Parise|Woppa|2694.3
55|Hasek|Democratic People's Republic of Kariya|kjohnm|2691.55
56|Gretzky|Kreider Hard|BluntForce19|2691.4
57|Leetch|Kurwa|Adzki|2681.6
58|Lidstrom|Josi and the pussy cats|BoardControl|2676.0
59|Roy|Mystic Coupons|tweedledunn|2673.25
60|Jagr|What's the Yams?|yams18|2666.0
61|Hasek|Tenacious Turtles|dzibanche|2664.35
62|Hasek|falco1002|chaopw2010|2663.95
63|Leetch|panzon's Team|donats15|2662.2
64|Pronger|ChazMichaels's Team|ChazMichaels|2659.85
65|Dionne|Simek's My PP Jumbo|SPEMason|2659.6
66|Roy|All She Wants to Do Is Dansk|Kovellen|2655.2
67|Hasek|One Kessticles|maverickxm2|2652.05
68|Howe|Divorced Men|yourmomcantspel|2639.4
69|Niedermayer|Creapolus's Team|Creapolus|2636.3
70|Jagr|Starship Troubas|LesVlads|2636.05
71|Howe|slaw47's Team|slaw47|2632.5
72|Lemieux|I Just Met You, This is Krejci|itsme242|2626.7
73|Roy|Kreidin Dirty|bruceitup|2624.5
74|Roy|Coyle1096's Team|Coyle1096|2617.4
75|Jones-Allen|Ruutu to Tootoo|DonPaita|2615.25
76|Jones-Allen|Pucking Fricks|Red_Dragons|2614.5
77|Roy|Cow Tipping Mafia|ImminentFate|2608.5
78|Chelios|Sun Devil Ducks|ANADucks98|2607.4
79|Roy|Bluth's Bananas|zodiac33|2604.2
80|Hasek|So Gritty!|MorphineSmile|2598.25
81|Leetch|he came he licked he conquered|east12|2597.85
82|Yzerman|JewChooTrain|JewChooTrain|2593.45
83|Niedermayer|Kingdom Hart|Foley23|2592.8
84|Jagr|Surpsu's Team|Surpsu|2589.75
85|Hasek|Beans|ClayBeans|2577.85
86|Jagr|Dumpster Fire Brigade|paularlington|2565.8
87|Chelios|Scrunts23's Team|Scrunts23|2555.95
88|Hasek|Hayzer|Hayzer13|2555.2
89|Gretzky|I Chabot That You Existed|akacesfan|2549.6
90|Orr|Jepeetos|Jepeeto|2549.05
91|Lemieux|Chiasson Dragons|Bearchrist|2548.85
92|Jones-Allen|The Ides of Marchessault|leapinliz|2544.45
93|Niedermayer|The Nose Knows|Bradisrad|2539.25
94|Howe|Mike Tyson Buries It...Again!|kyriosa|2538.25
95|Dionne|Five hole douches|Douche78|2535.7
96|Orr|Rusticles's Team|Rusticles|2531.3
97|Howe|Frolunda HC|FCBcn19|2530.2
98|Howe|Bk1689|Bk1689|2530.1
99|Niedermayer|The First Year Fumblers|Zetterburger|2529.65
100|Gretzky|Nashville Perdators|yaheardwperd|2529.5
101|Gretzky|Owen6|russtyj|2527.8
102|Niedermayer|Too Hot To Yandle|gumbosious|2523.3
103|Bourque|Strawberry Seahorse|ibjeffe|2522.6
104|Roy|Dont Fehr the Reaper|RBHoneyBadger|2521.05
105|Howe|Poope Hintz|pfy5002|2519.5
106|Lemieux|No Regretzkys!|The_Irelander|2518.95
107|Orr|How much wood could a Tkachuk Chuck|hindersurprise|2518.8
108|Pronger|The Green Bastards|Canadianheel|2516.05
109|Jagr|Why Not Zoidtterberg|Brazenhead|2514.7
110|Roy|South Detroit Journeymen|Scooterkid|2511.9
111|Dionne|It Doesn't Maatta!|TwistedEdge|2505.4
112|Dionne|Up and Around the Benn|jagoe_unchained|2501.45
113|Gretzky|Mantha vs. Godzilla|sickboy1965|2496.1
114|Lemieux|RIP Heatley's Ferrari|SHTTNwTHINKIN|2494.0
115|Lemieux|ponch101's Team|ponch101|2493.85
116|Leetch|Krusty Krabs|KoolKrab|2489.45
117|Orr|NOBODY BEATS KURT WYLDE|Cyperone|2488.95
118|Dionne|Lock Monsters|ksteadsrus|2480.0
119|Chelios|Capital Stars|BenPM64|2473.05
120|Jagr|DreDay084's Team|DreDay084|2472.55
121|Jones-Allen|MacKinnon Ur Girl|wtfover021|2462.9
122|Lemieux|Kariya DPR|aromatickoala|2448.85
123|Jagr|Mudbugs|brown4se|2446.05
124|Yzerman|TeamNameRequired|birdrib|2442.25
125|Jones-Allen|Anthanasiou Later|Azotherian|2441.3
126|Jagr|Kovalchuck Me Off A Cliff|Mdhemp|2432.8
127|Chelios|Rielly Hammered|Optimal_Hunter|2429.25
128|Pronger|Livin' on a Parayko|sinfolaw|2424.7
129|Jones-Allen|Brad Attitude|xMrSleepyx|2420.6
130|Yzerman|Churchmoor Caterpies|LtGerbil|2420.4
131|Bourque|Weiss Guys|Hail_Aqualung|2419.3
132|Jagr|DrJackBauer's Team|DrJackBauer|2418.1
