###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
1|Lemieux|Kariya DPR|aromatickoala|201.8
2|Jagr|Thin Ice|Do_Not_Look_Up|200.35
3|Dionne|Springfield Tire Fires|bv310|198.6
4|Pronger|Livin' on a Parayko|sinfolaw|195.4
5|Howe|No Reimer Reason|Tsunkatse|193.25
6|Bourque|Weiss Guys|Hail_Aqualung|190.9
7|Chelios|Dead Wings|piddles59|190.5
8|Jones-Allen|Eat your Cale, kids|bruinhawks|190.25
9|Jones-Allen|Hintz Me Baby One More Time|dkpatrick|190.15
10|Leetch|Kb85's Team|Kb85|188.55
11|Gretzky|https://streamable.com/73ksy|VoodooSteve|187.5
12|Dionne|Drunk Ovi|hotoatmeal|186.2
13|Gretzky|Noddan HC|noddan|185.8
14|Chelios|Sun Devil Ducks|ANADucks98|185.65
15|Leetch|Adzki's Team|Adzki|185.1
16|Niedermayer|Yikes|A_wells|183.9
17|Orr|Free Agents|saltycancer|183.6
18|Leetch|#ALLCAPS|Protobreak|183.25
19|Niedermayer|Creapolus's Team|Creapolus|182.45
20|Yzerman|JewChooTrain|JewChooTrain|182.4
21|Lemieux|RIP Heatley's Ferrari|SHTTNwTHINKIN|181.8
22|Dionne|Book Hockey|TwoPlanks|180.8
23|Yzerman|Ice Roosters|Atron45|180.4
24|Roy|All She Wants to Do Is Dansk|Kovellen|180.15
25|Lemieux|CuJo31|CuJo31|178.95
26|Chelios|3-0 10:41 3rd|StickandPucks|178.25
27|Jagr|MackLoud's Team|MackLoud|177.3
28|Gretzky|Tkachuk Norris|Twitty|177.25
29|Gretzky|Mantha vs. Godzilla|sickboy1965|176.85
30|Jagr|What's the Yams?|yams18|176.35
31|Roy|Kreidin Dirty|bruceitup|176.05
32|Howe|Get CTE or Die Tryin|dorsia|175.75
33|Chelios|Rielly Hammered|Optimal_Hunter|175.1
34|Chelios|Scrunts23's Team|Scrunts23|174.95
35|Jones-Allen|Gerald McBoing-Boing|Kattsumoto|174.3
36|Orr|Tokyo Sandblasters|phillyCHEEEEEZ|174.2
37|Bourque|Hellfish|tmofft|174.05
38|Yzerman|Manthacores|Berggren|172.95
39|Leetch|Party Kane|selcio44|172.7
40|Lemieux|No Regretzkys!|The_Irelander|172.35
41|Lemieux|BlizzNasty|ckroyal92|171.45
42|Lidstrom|you're back on the force, bobrovsky|thescientist120|171.25
43|Hasek|Penners House of Pancakes|Ebuff89|171.1
44|Hasek|Flying Zambonis|Cannon49|171.1
45|Hasek|Denim Chicken|sleeptalkerz|170.9
46|Orr|Nai|Naihh|170.6
47|Hasek|ClayBeans's Team|ClayBeans|170.1
48|Hasek|One Kessticles|maverickxm2|169.8
49|Chelios|Letterkenny Shamrocks|ShDynastyCC|168.55
50|Dionne|RalJTK's Team|RalJTK|168.5
51|Bourque|Big Daddy Wheels|Joel249|168.3
52|Jones-Allen|The Bottle Police|Ned98|167.8
53|Orr|Rusticles's Team|Rusticles|167.6
54|Hasek|Democratic People's Republic of Kariya|kjohnm|166.3
55|Gretzky|Dude, Where's Makar?|SPRX97|166.1
56|Gretzky|I Chabot You Existed|akacesfan|166.05
57|Howe|Divorced Men|yourmomcantspel|165.95
58|Lidstrom|Cootsie's Cooties|stinkus1|165.9
59|Niedermayer|The Nose Knows|Bradisrad|165.35
60|Roy|Hiroses for Hire|Howe_U_Doin|163.8
61|Pronger|Putting On The Foil|Uncledonny|163.6
62|Bourque|Just Winging It|DeepFriedGoose|163.1
63|Niedermayer|Bonafide Stallion|corvuskerst|163.0
64|Jagr|watch your mouth|tooproforyou|162.7
65|Yzerman|Ovi O's|ShinyLeprechaun|162.5
66|Jones-Allen|Brad Attitude|xMrSleepyx|162.4
67|Niedermayer|Kingdom Hart|Foley23|162.25
68|Yzerman|Koplin's Spartans|koplin|162.15
69|Gretzky|Nashville Perdators|yaheardwperd|161.6
70|Gretzky|Getrektzky|Boboombang|161.0
71|Hasek|Wrath of Joe McGrath|LAGunsHockey|160.65
72|Roy|South Detroit Journeymen|Scooterkid|159.9
73|Pronger|ChazMichaels's Team|ChazMichaels|159.65
74|Hasek|Hayzer|Hayzer13|159.05
75|Hasek|Hurtin For A Spurgeon|NoRelationWayne|158.3
76|Lemieux|Pepe Silvia|boywoods|158.3
77|Jagr|Starship Troubas|LesVlads|157.0
78|Roy|Syracuse Bulldogs|Orbalisk|156.65
79|Howe|Frolunda HC|FCBcn19|156.3
80|Jones-Allen|Raging Joner|onegaishimasu|155.9
81|Lidstrom|Dubois are back in town.|BOBROVSKY|155.9
82|Yzerman|Churchmoor Caterpies|LtGerbil|155.35
83|Jagr|Lokomotiv|Topfuel|154.2
84|Dionne|Lock Monsters|ksteadsrus|154.0
