###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
102|Howe|Das Seidenberg-zo|3885.0|NR|NR
103|Gretzky|The Tavarsenal-zo|3875.05|NR|NR
104|Jagr|The Cake Eaters-zx|3866.95|NR|NR
105|Esposito|Tomas Fleischlights-z*|3862.4|NR|NR
106|Howe|Multiple Scoregasms-zo|3860.45|NR|NR
107|Francis|MVPerry-z*|3858.25|NR|NR
108|Roy|Already Gonchar-zo|3851.85|NR|NR
109|Esposito|Heatley Hits The Post!-zo|3850.75|NR|NR
110|Yzerman|Century Mews-zo|3824.9|NR|NR
111|Lemieux|Lehigh Valley Phantoms-z|3817.5|NR|NR
112|Messier|Who Shattenkirk's Bed-x|3814.3|NR|NR
113|Howe|The Coolers-zo|3801.9|NR|NR
114|Howe|Roy-Guy Races-zo|3797.15|NR|NR
115|Lemieux|Whose Line is it Eberle?-zo|3783.0|NR|NR
116|Roy|Acadian Fisherman-zo|3777.1|NR|NR
117|Jagr|Tatar Sauce-zo|3775.4|NR|NR
118|Gretzky|RedBull gives you Wingels-zo|3761.5|NR|NR
119|Roy|KitchRons-zo|3745.1|NR|NR
120|Sakic|Turris Trap-zo|3721.7|NR|NR
121|Messier|Letang Clan Ain't Nothing To Puck With-z|3720.7|NR|NR
122|Western|That Krug Really Tied the Room Together-z|3705.4|NR|NR
123|Eastern|Feel Like Malkin Love-zo|3700.7|NR|NR
124|Yzerman|Harder, Better, Faster, Pronger-zo|3696.8|NR|NR
125|Messier|Waiver Wire Wonders-zo|3695.0|NR|NR
126|Messier|Eberle Hills 90210-z*|3690.9|NR|NR
127|Lemieux|Henrik's Hammers-z*|3682.95|NR|NR
128|Messier|Flop To The Top-z|3676.75|NR|NR
129|Dionne|Bolland for Columbine-zo|3676.15|NR|NR
130|Howe|Angry Babcock-zo|3669.3|NR|NR
131|Lemieux|Book Hockey-zo|3665.3|NR|NR
132|Esposito|Gary wasn't so brilliant-zo|3661.3|NR|NR
133|Lemieux|THIS TEAM IS ADEQUATE-z*|3655.55|NR|NR
134|Dionne|The Best Placeholder Name Ever-zo|3647.5|NR|NR
135|Western|Dany Heatley's Limo Service-zo|3628.2|NR|NR
136|Esposito|Doan Stop Believing-zo|3620.65|NR|NR
137|Dionne|Puck Hard-z|3618.1|NR|NR
138|Eastern|Sunnyvale Stars-zo|3612.65|NR|NR
139|Dionne|Pick It Up, Put It Down-zo|3609.7|NR|NR
140|Howe|Vanek at the Disco-zo|3604.3|NR|NR
141|Lemieux|Kneel before Saad-zo|3595.9|NR|NR
142|Francis|Crosby Toews Nash-zo|3589.55|NR|NR
143|Lemieux|Vanek! at the Disco-zo|3584.45|NR|NR
144|Western|Mikko Horny-zo|3577.75|NR|NR
145|Esposito|Tiger Williams' Stick-z|3572.75|NR|NR
146|Western|I'm Subban at puns-zo|3568.3|NR|NR
147|Bourque|Raisin' Kane-zo|3560.8|NR|NR
148|Bourque|Bozak Horseman-zo|3548.4|NR|NR
149|Francis|Hello my name is: Mike Johnston-zo|3533.0|NR|NR
150|Messier|Sotnos HC-z|3529.35|NR|NR
151|Esposito|The Water Bottle Police-zo|3516.1|NR|NR
152|Sakic|KRUG-S-A-zo|3506.65|NR|NR
153|Sakic|Alex Goooaaaaligoski-zo|3489.95|NR|NR
154|Roy|Brad Medicine-zo|3481.15|NR|NR
155|Dionne|Shivakamini Somakandarkram-zo|3478.95|NR|NR
156|Francis|Yandleabra-zo|3473.75|NR|NR
157|Messier|The Unknowns-zo|3462.1|NR|NR
158|Messier|My Team Name Doesn't Maatta-zo|3441.9|NR|NR
