Everyone Poops,293.0
Mackinnon Out Burger,269.46
falco1002,264.32
Doughty Didn't Deserve The Norris,251.5
One Kessticles,245.38
Hattrick Pornqvist,245.16
Go Puck Yourself,244.45
I Ain't Seguin She a Gold Digger,242.83
Smuggy Dugnubs,241.26
Toews in the Water,238.37
Syracuse Bulldogs,237.85
Tarasenkyu Very Much,237.42
Enter Creative Name Here,236.81
The Red Hot Chilly Wings,236.36
King of the Kessel,235.32
Konecnywa,234.44
Yak City,233.88
Lubo Sucks,232.49
Ginger Geesus's Grilled Cheeses,231.29
Tarasenkyour Battleship,231.11
Dumpster Fire Brigade,231.03
Ghost Bear Nation,230.9
The Cake Eaters,230.7
macerating toilet,230.22
Cell Phones and Plane Tickets,230.0
Sticks out for Harambe,229.99
M&Ms,228.51
Stan Mikita's Donuts,228.29
Gordie Howe Hatrick,228.19
St. John's Shamrocks,228.03
Vanek! At The Disco,227.74
Parise Taught Me,226.86
Charlottetown Islanders,224.91
Hiller Youth,224.32
The Ottawa BeeVees,224.02
Mystic Coupons,223.89
Democratic People's Republic of Kariya,223.17
Frolunda HC,221.85
Nate Silfverberg,221.65
Alexander Radiculous' Team,221.52
Bust a Kapanen,221.17
Toewsd And Confused,220.82
Risky Bryz-ness,219.93
Book Hockey,219.63
Dubinsky's Garage League,219.11
Hash Hockey,218.89
Btchz B Krejci,218.45
Bar Down,218.44
Right in the Pucker,218.16
Ruh Oh...,217.94
Denim Chicken,217.78
Hypnotoads,217.76
San Jose Street Sharks,217.48
PassTheCulpepper,216.42
Whirlybirds,216.41
A Song of Ice and Thryr,216.29
Flying Zambonis,216.05
South City Squash,216.04
kyOh,215.55
Karl on my Wayward Sson,214.91
Finnishing Touch,214.83
Al Jardine,214.56
Witty team name,213.74
Horton Hears a Who!,213.22
Snizzbone,213.15
Endless Love,212.27
JewChooTrain,212.22
Matthews the Saviour,211.76
Bryan Rust and the Rusty Plugs,211.57
Acting Like Aho,209.54
NurseSharks,209.27
I am score,208.98
Clatsyuk,208.96
Drouination,208.37
Ghost Bear,207.58
The Big Pavelski,207.01
FL Skunk Apes,206.03
Team Ukraine,205.12
All Down The Laine,204.38
40-30 Grit Grinders,204.38
Nailing Yaks,204.03
The JiiiveTurkays,203.96
Generic Hockey Pun,203.51
Red Wing High Five,203.29
Clemens HC,203.29
Zdeno Charazard,202.88
Molemen,202.78
The Dat-sucks,202.46
Halak Ness Monster,202.33
Stastny & Hutch,202.25
Jagr Bomb,201.06
Double Bennatration,200.83
Krejci Train,200.82
The Larkness Monster,199.83
Goaltender Interference,198.38
Non-stop Saadomy,198.31
Doan Look Backes,198.28
Kreider Hard,197.8
Damper Than Moist,197.49
WhoseLineIsItEberle,196.41
Larkinine,195.79
Bill Crosby,195.38
Big Trouba in Little Giroux,195.3
Team North Americarambe,194.56
Toews'd & Kane-fused,194.42
Vesey scar,193.73
Crosby Sweaters,193.44
Heil Sittler,192.94
Kessel's Cookie Jar,191.92
Kinki Kids,191.68
Now Josi Me 3: Let's Get Roman-tic,191.16
Neal's Knees,190.46
RIP Heatley's Ferrari,190.35
Pucking Fricks,188.99
ponch101,188.86
Andre and the Goons,188.69
Red Star Beijing,188.34
Vancouver Voodoo,187.85
Price Price Baby,187.7
Mike Smith's Chosen Juans,187.66
I Am Score,186.91
Puck It,186.56
Phil Kessel's Stanley Cup Champions,186.29
Do You Smell What Laraque Is Cookin?,186.09
KappinKurtz,185.99
South Detroit Journeymen,185.25
Boilermaker Brawlers,184.6
Benzene96,183.94
2 Girls 1 Kopitar,183.58
Giroux've Gotta Be Kidding Me!,183.52
The Ides of Marchand,182.63
EXCELlent,182.15
Pickle High-Noon,182.11
Benn There Done That,182.01
The Ponies of Equestria,181.45
Helle's Belles,179.7
Shivakamini Somakandarkram,179.52
Gilmour Girls,179.47
Capital Punishment,179.23
xMrSleepyx,178.31
McDavid Paradox,177.35
Fussy Puckers,176.83
McCoy's Red Army,176.46
Datsyukian Deke,175.45
Coyotes 2.0,174.95
Vienna Canucks,174.84
OK Blue Jays,174.57
Flop To The Top,174.43
bob says NYET,172.76
Wrath of Grapes,172.75
Straight Cash Homie,172.34
Leafs,172.33
Kwik-E-Mart Gougers,172.14
Bada Boom Realest Team in the Room,169.89
Bergeron Burgundy,169.65
Sheahan's Shillelaghs,169.63
Everyday I'm Byfuglein,169.4
Pikachubban,169.19
Cookie Thumpers,169.13
Corsi? What Corsi?,168.66
Lizard Wizards,168.42
Up and Around the Benn,168.22
Stars of McDavid,167.76
Mackinnon Your Girl,166.18
NO SAM!!,165.47
Mint Barrie Crunch,165.43
The Mighty Red Pandas,163.57
Wrath of Joe McGrath,163.52
Ice Roosters,162.32
Montreal Dive,160.37
AO GR8,160.22
Tokyo Sandblasters,160.04
Hossas & Mimosas,160.02
Dangletangs III,159.85
Kronwall of Pain,159.69
You're so Radulov,159.48
Octopussy,159.24
CuJo31,158.13
Stralman Fallacy,157.63
NoseFaceKillahs,156.85
skankhunt42,155.93
Penners Pancakes,154.99
Hartford Gougers,153.81
Teamy McTeamface,153.79
GloOon Squad,153.37
Tomas Fleischlights,152.53
TeamNameRequired,152.44
cRosby SwAllows,152.4
Avadabdelkader,152.24
MayTheForsbergWithYou,152.1
VooDaddy,151.1
AGexpress,150.29
Sharp Ladds,150.16
Mud Dragons,150.02
CTE,149.14
Not My Team,148.9
I am NOT drinking any f-ckin Marleau,148.33
Puget Sound FHC,147.81
Pimpin' Ain't Parise,146.93
Karlsson 1st Overall,146.93
Corey Perry's House of Payne,146.92
SportsNewbie,146.91
License to Ilya,146.03
Puns not dead,144.8
Nasty Ear Wax,144.01
Lonely End of the Rink,143.99
Kurri Farts,141.96
The Musical Fruits,138.65
Honey Nut Chelios,138.58
Chara's Angels,136.55
Tropical Depressions,135.91
Malkin a Murderer,135.59
Scooby Dooby Dubnyk,133.58
Flashes of Greatness,133.29
ktcottrell,131.0
The Snow Mexicans,126.51
Nobody Moves Nobody Gets Hurt,125.45
Dr. Draisaitl's Sick Beats,124.92
Jagr Bombs,124.52
