Hattrick Pornqvist,268.83
Dumpster Fire Brigade,267.95
Jagr Bomb,265.79
Denim Chicken,259.99
Penners Pancakes,257.41
Nasty Ear Wax,257.15
Flop To The Top,256.97
PassTheCulpepper,256.97
Alexander Radiculous' Team,253.62
Lubo Sucks,253.41
Snizzbone,250.43
Goaltender Interference,248.8
Go Puck Yourself,247.67
Clemens HC,244.99
Book Hockey,241.07
Up and Around the Benn,239.52
Ruh Oh...,237.13
Drouination,232.63
Halak Ness Monster,231.83
Price Price Baby,231.58
SportsNewbie,231.21
The Cake Eaters,230.68
The Red Hot Chilly Wings,230.22
Finnishing Touch,229.72
I Ain't Seguin She a Gold Digger,228.17
Flying Zambonis,227.55
Enter Creative Name Here,227.53
Right in the Pucker,227.39
Kronwall of Pain,222.39
Lizard Wizards,221.04
Hiller Youth,220.33
The Big Pavelski,220.31
xMrSleepyx,218.15
Nailing Yaks,217.85
Konecnywa,217.78
King of the Kessel,217.77
The Larkness Monster,217.32
Stan Mikita's Donuts,215.95
falco1002,215.78
Vanek! At The Disco,215.34
Kurri Farts,215.25
Pickle High-Noon,214.98
Mystic Coupons,214.71
Frolunda HC,214.43
One Kessticles,214.37
Doughty Didn't Deserve The Norris,213.26
Pikachubban,213.17
Bar Down,211.77
Tarasenkyour Battleship,211.44
Giroux've Gotta Be Kidding Me!,211.22
WhoseLineIsItEberle,209.08
Bust a Kapanen,208.76
Crosby Sweaters,208.65
Red Star Beijing,208.4
Sheahan's Shillelaghs,208.37
MayTheForsbergWithYou,208.15
Karl on my Wayward Sson,208.14
Puns not dead,207.18
Karlsson 1st Overall,206.43
Kreider Hard,205.91
Horton Hears a Who!,204.79
Damper Than Moist,204.78
Benzene96,204.27
JewChooTrain,203.7
Everyday I'm Byfuglein,203.14
RIP Heatley's Ferrari,202.79
Cell Phones and Plane Tickets,202.63
The Ides of Marchand,202.08
Tokyo Sandblasters,202.05
Charlottetown Islanders,201.04
Mint Barrie Crunch,200.96
Tarasenkyu Very Much,200.73
Do You Smell What Laraque Is Cookin?,200.08
Democratic People's Republic of Kariya,199.98
AGexpress,199.8
Pucking Fricks,198.32
Mackinnon Out Burger,197.98
Toews in the Water,197.97
Toewsd And Confused,197.58
Kinki Kids,197.56
Smuggy Dugnubs,196.43
Mackinnon Your Girl,195.98
Lonely End of the Rink,195.1
Team Ukraine,195.02
TeamNameRequired,195.01
macerating toilet,194.89
Cookie Thumpers,194.72
St. John's Shamrocks,194.29
Pimpin' Ain't Parise,194.25
The JiiiveTurkays,194.2
Kwik-E-Mart Gougers,194.07
Jagr Bombs,193.56
kyOh,192.37
Helle's Belles,191.98
Acting Like Aho,191.55
Generic Hockey Pun,191.38
Hossas & Mimosas,191.02
bob says NYET,190.42
Molemen,190.34
Ghost Bear Nation,190.2
Ginger Geesus's Grilled Cheeses,190.18
Bryan Rust and the Rusty Plugs,190.1
Krejci Train,189.69
Bergeron Burgundy,189.58
The Ponies of Equestria,189.4
Vancouver Voodoo,188.9
OK Blue Jays,188.58
Everyone Poops,188.18
All Down The Laine,187.62
Witty team name,186.73
NurseSharks,186.15
Kessel's Cookie Jar,185.77
Doan Look Backes,185.65
Al Jardine,185.35
The Snow Mexicans,185.23
Gilmour Girls,184.2
Not My Team,183.62
The Ottawa BeeVees,182.68
Risky Bryz-ness,182.14
Matthews the Saviour,181.91
M&Ms,180.68
Corsi? What Corsi?,180.21
Wrath of Grapes,179.3
Burns-in' Down the House,179.29
Straight Cash Homie,179.18
ponch101,179.02
Wrath of Joe McGrath,178.86
Gordie Howe Hatrick,178.8
You're so Radulov,177.88
Whirlybirds,177.72
Now Josi Me 3: Let's Get Roman-tic,176.15
NO LEAFS!!,175.6
Bada Boom Realest Team in the Room,174.9
Capital Punishment,174.71
Benn There Done That,174.6
I Am Score,174.45
San Jose Street Sharks,174.35
cRosby SwAllows,173.97
The Dat-sucks,173.69
Heil Sittler,172.95
Nate Silfverberg,172.48
Malkin a Murderer,172.33
ktcottrell,171.74
skankhunt42,170.76
Endless Love,170.54
Big Trouba in Little Giroux,169.56
Non-stop Saadomy,168.3
Datsyukian Deke,167.46
EXCELlent,167.42
Sticks out for Harambe,166.8
I am score,166.54
Boilermaker Brawlers,166.12
Human Erasers,165.05
AO GR8,164.57
Ghost Bear,164.19
Double Bennatration,164.17
Team North Americarambe,163.03
Ice Roosters,162.8
Phil Kessel's Stanley Cup Champions,162.41
The Mighty Red Pandas,161.46
Andre and the Goons,161.02
Nobody Moves Nobody Gets Hurt,160.71
Vienna Canucks,159.53
McDavid Paradox,158.96
Teamy McTeamface,158.87
The Musical Fruits,158.4
Chara's Angels,157.01
Avadabdelkader,156.34
Stastny & Hutch,156.21
Hypnotoads,155.53
Puget Sound FHC,154.63
A Song of Ice and Thryr,154.05
GloOon Squad,153.57
Larkinine,153.08
Parise Taught Me,152.97
Coyotes 2.0,151.94
Red Wing High Five,151.74
Dr. Draisaitl's Sick Beats,151.25
Dubinsky's Garage League,150.74
Toews'd & Kane-fused,150.52
Go Vesey On Me,150.15
CuJo31,149.9
Hash Hockey,148.82
NoseFaceKillahs,148.73
Hartford Gougers,147.9
Zdeno Charazard,147.74
Mike Smith's Chosen Juans,147.36
Yak City,146.79
2 Girls 1 Kopitar,146.47
South City Squash,145.59
Montreal Dive,145.39
Dangletangs III,144.84
40-30 Grit Grinders,144.42
Shivakamini Somakandarkram,144.25
McCoy's Red Army,143.71
KappinKurtz,142.44
I am NOT drinking any f-ckin Marleau,141.91
Leafs,141.27
Fussy Puckers,141.12
Team NA, Never Forget,139.63
Corey Perry's House of Payne,138.92
Sharp Ladds,137.58
Honey Nut Chelios,137.32
CTE,135.91
Tomas Fleischlights,134.63
Clatsyuk,133.01
Neal's Knees,131.59
LAUREN PRONGER,130.28
Re-Phil-ing the Cup,130.1
Btchz B Krejci,129.44
Stars of McDavid,129.27
License to Ilya,128.35
VooDaddy,123.07
Octopussy,122.06
Vesey scar,121.07
Mud Dragons,120.04
Syracuse Bulldogs,117.4
Scooby Dooby Dubnyk,111.34
Puck It,108.39
Bill Crosby,107.89
FL Skunk Apes,107.19
South Detroit Journeymen,104.93
Tropical Depressions,95.79
St.B Frenchies,62.54
