Tarasenkyu Very Much,321.9
Look What Yeo Made Me Do,294.92
Churchmoor Caterpies,290.68
Andre and the Goons,279.54
The aRISTOcrats,274.92
The Kessel Run,270.15
Kreider Hard,269.61
Wrath of Joe McGrath,269.43
The Larkness Monster,268.57
Doughty Didn't Deserve The Norris,265.32
DontForgetAboutDrai-saitl,261.54
Ice Follies,258.96
Giroux've Gotta Be Kidding Me!,255.75
Matthews The Saviour,254.8
ponch,251.31
Denim Chicken,249.39
Paidat,248.53
Bar Down,247.92
Big Johnsons,246.98
Double Bennetration,246.92
Feel my Rask,245.26
The Price is Wrong,244.55
Northern Guard,243.95
Btchz B Krejci,243.26
Getrektzky,243.23
One Kessticle,242.96
The Great Wall Of St. Paul,242.56
Kiss my Aho,242.43
Tenacious turtles,241.28
Pucking Fricks,240.58
Baby Got Backes,239.26
Red Wing High Five,239.22
Mystic Coupons,239.13
Horton Hatches The Egg,239.08
Nolan, this is Patrick,238.86
Nailing Yaks,238.6
Don't Stop 'Til You Get Phaneuf,238.41
Koekkoek for Cocoa Puffs,235.11
The Fasth and the Furious,235.04
Athanaseeyoul8er,234.99
Gilmour Girls,234.91
The Bottle Police,234.04
Benn there, Domi that,233.47
Democratic People's Republic of Kariya,233.33
Florida Skunk Apes,233.21
Trades R' Us,233.02
Hart@Yak,232.47
100 on My Risto,232.24
Molson Muscle,229.66
The One You Love To Hate,229.55
Bergeron Burgundy,229.31
The Geeky Economists,228.83
The Matthews 4-Drops,228.64
Straight Cash Homie,228.52
Ass Kickers United,228.1
Wicked Wrista,228.0
Sgt. Bobrovsky's Squadron,227.78
Crazy L Gorillas,226.7
Dont Fehr the Reaper,226.67
Josi's Story,226.65
Molemen,226.58
Good Kid, S.A.A.D City,226.25
Pass the Dutchy to the Left,226.1
Strawberry Sundin,225.9
bob says NYET,225.28
Henrik & Gustav Go to Little Caesars,225.12
Burns baby Burns,225.08
Dubinsky's Garage League,224.93
Book Hockey,224.54
abcSpectacular,224.45
Mighty Red Pandas,221.97
The Ottawa BeeVees,221.0
King of the Kessel,219.94
Glatt Attack,219.56
Pimpin' Ain't Parise,219.44
Drouin it Boeser,219.34
THE INCREDIBLE MALK,219.09
2 Girls 1 Kopitar,217.91
Flying Zambonis,217.89
Staal tactics,217.88
Felix's Fist,217.31
Joe Thornton Hat Trick,216.66
Hot Wing's All-Stars,215.17
Hypnotoads,215.02
Up and Around the Benn,214.37
Cow Tipping Mafia,213.89
Grey Ducks,213.3
Frolunda HC,213.19
Starship Troubas,213.0
RIP Heatley's Ferrari,212.76
Hartford Gougers,211.61
Team Ukraine,211.33
falco1002,210.94
Caketown,210.44
The Cake Eaters,210.15
Bozak Yellow,210.1
Trocheck yourself, before you wreck yourself,210.08
Athanasiou Later,209.99
DingleBarrie's,208.78
Bust a Kapanen,208.74
2 Girls 1 Stanley Cup,208.17
Dangletangs IV,205.66
CuJo31,204.97
The Ghost of Mike Johnston's Power Play,204.8
Dumpster Fire Brigade,204.66
Jussi Djoos,204.01
Pickle Sunrise,203.46
The Dube Abides,202.57
Doan of the Dead,202.24
Thin Blue Laine,201.98
Toews'd & Kane-fused,201.86
Glory Five-Hole,201.85
40-30 Grit Grinders,201.83
Divorced Guys,200.74
Seattle Sockeye,199.6
Mitchler's TBA team,199.3
Lias 2 Lidas,198.54
Torts Reform,197.95
St. John's Shamrocks,197.16
SticksOut4Harambe,196.23
Jagrmeister,195.13
Finnishing Touch,194.84
Joonas Dogskoi,194.82
Troublemakers,194.37
The Roy,194.06
South Detroit Journeymen,194.02
Don't Puck With Me,193.92
Jarg 17-18,193.13
Blainville-Boisbriand Armada,193.02
Too Many Consonants,191.89
Everyone Poops,191.61
NLF,191.13
Syracuse Bulldogs,191.12
Just A Wheelerin',191.06
Team North Americarambe,190.27
The Starvin Marvins,190.03
Team Zissou,189.73
Pawvel Catsyuk,189.19
Human Erasers,188.83
Will Nye The Scoring Guy,188.55
Century Mews,187.75
Crosby Sweaters,186.91
Tarasenko de Mayo,186.57
Pretty Fly,185.98
Thin Ice,185.95
Do as I Seguin, Not as I Drouin,185.85
Rumble Ponies,185.19
The Jiiive Turkays,184.51
For the Sweat,184.47
Risky Bryz-ness,183.82
Moves Like Jagr,183.81
Bunch of Kunitz,183.58
Hiller Did Nothing Wrong,183.46
Mike Smith's Chosen Juans,182.58
Bryzlly Bears,181.82
Vanek at the Disco,181.72
Witty Team Namestnikov,181.14
The Red Hot Chilly Wings,180.63
Puck Man,179.34
NurseSharks,179.05
1-800-FCK-GARY,178.7
Trash Pandas,178.07
KingofRags,177.85
Why Not Zoidterberg,177.71
Big P,176.96
Not as Gudas I could be,176.95
Jews of Girouxsalem,176.46
Pens Perfect Picks,176.12
It was Ceci for Drouin, straight up,175.86
Austin Ice Bats,175.7
Dangle Snipe Celly,175.66
Segsual Seduction,175.35
Leafs,175.19
Voracek Yourself,174.67
Bush Chickens,173.15
MacKinn-on your Girl,172.12
Stan Mikita's Donuts,171.72
North Kariya,169.76
JewChooTrain,169.02
The Price is Right,168.19
Endless Love,167.6
Penners House of Pancakes,166.29
Snizzbone,166.05
Panarin Bread,165.11
San Jose Street Sharks,165.07
The Stalwart Superjocks,164.99
Halifax Highlanders,164.76
Sassy Glove Save,163.55
Ice Roosters,163.4
Sticks Out for Harambe,162.41
Semin Stains,162.15
Major Lazar,161.64
The Zac Rinaldo All-Stars,161.29
Price of Fame,158.42
KappinKurtz,158.17
Feel The Burns,155.59
Datsyukian Deke,155.42
Yoooo this is cool,154.78
Hub City Slickers,152.91
Montreal Dive,152.05
Marshmont HC,151.43
Blips and Chitz,151.4
Sean's Super Squad,151.4
Reading Renegades,151.3
CTE,148.44
Olli Maata of God,147.03
EA HHLs new direction,144.51
The Grapes of Rask,144.07
Stud Ranch,141.9
Tandems,141.2
Tokyo Sandblasters,141.15
The Ponies of Equestria,141.15
Puck me Harder,140.89
Dumplers,140.43
Ktcottrell,140.08
Super-Duper Mighty Ducks,137.73
ham slater,137.38
Tkachuk E. Cheese,136.99
Clemens HC,136.26
Easton Fection,133.16
Drouin your mom,126.85
Flop to the top,106.43
Lemuiextillators,100.11
Bourque de Broue,97.4
