NoseFaceKillahs,304.21
Pimpin' Ain't Parise,268.1
Endless Love,264.15
San Jose Street Sharks,263.06
Up and Around the Benn,259.66
Stralman Fallacy,259.46
Wrath of Joe McGrath,255.89
Bust a Kapanen,249.18
McCoy's Red Army,243.5
Book Hockey,242.61
Lubo Sucks,242.31
I Ain't Seguin She a Gold Digger,241.72
Jagr Bomb,241.5
Mackinnon Out Burger,241.02
Dumpster Fire Brigade,239.85
Alexander Radiculous' Team,238.43
Penners Pancakes,237.69
cRosby SwAllows,237.14
Doan Look Backes,236.96
Ghost Bear,236.22
Tarasenkyu Very Much,235.5
Snizzbone,233.42
Sheahan's Shillelaghs,232.84
One Kessticles,232.09
Pikachubban,230.03
NurseSharks,229.94
Benzene96,228.93
Mike Smith's Chosen Juans,228.57
Team North Americarambe,228.5
Kessel's Cookie Jar,228.25
Red Wing High Five,227.81
King of the Kessel,226.87
Democratic People's Republic of Kariya,226.86
Dubinsky's Garage League,226.32
MayTheForsbergWithYou,226.02
bob says NYET,224.48
Finnishing Touch,223.02
Risky Bryz-ness,222.3
Go Puck Yourself,220.61
Kreider Hard,219.6
Right in the Pucker,219.07
Drouination,218.58
Helle's Belles,218.16
All Down The Laine,217.62
Clemens HC,217.26
OK Blue Jays,217.09
Nailing Yaks,216.72
The Musical Fruits,216.28
The Big Pavelski,216.18
Charlottetown Islanders,215.7
The Larkness Monster,213.92
Andre and the Goons,213.52
Cookie Thumpers,212.59
Sticks out for Harambe,212.19
Price Price Baby,212.14
Al Jardine,211.29
40-30 Grit Grinders,210.56
Whirlybirds,210.23
Red Star Beijing,208.14
JewChooTrain,208.09
Gilmour Girls,207.4
Halak Ness Monster,207.24
Non-stop Saadomy,207.12
CTE,205.83
Bar Down,205.79
Goaltender Interference,205.03
Team Ukraine,205.02
I am NOT drinking any f-ckin Marleau,204.01
Horton Hears a Who!,203.01
Hattrick Pornqvist,201.69
TeamNameRequired,201.45
Straight Cash Homie,200.78
Doughty Didn't Deserve The Norris,200.77
macerating toilet,200.57
Capital Punishment,200.3
falco1002,199.56
Hiller Youth,199.0
Btchz B Krejci,198.71
I Am Score,198.27
Bill Crosby,198.25
Stan Mikita's Donuts,197.9
Denim Chicken,197.39
Konecnywa,197.29
Heil Sittler,196.77
KappinKurtz,196.47
Stars of McDavid,195.96
xMrSleepyx,194.57
Pucking Fricks,194.5
Bergeron Burgundy,194.46
Zdeno Charazard,194.22
Tarasenkyour Battleship,193.79
Crosby Sweaters,193.57
Puns not dead,192.19
Coyotes 2.0,191.13
Giroux've Gotta Be Kidding Me!,190.63
Frolunda HC,190.28
RIP Heatley's Ferrari,189.97
The Dat-sucks,189.48
Damper Than Moist,189.13
Generic Hockey Pun,189.06
Avadabdelkader,188.97
Hash Hockey,188.65
Lizard Wizards,188.23
Karlsson 1st Overall,188.03
ponch101,187.9
The Snow Mexicans,187.77
Honey Nut Chelios,187.0
Double Bennatration,186.8
Tomas Fleischlights,186.49
Ghost Bear Nation,186.15
Ginger Geesus's Grilled Cheeses,185.95
Mackinnon Your Girl,185.34
Kinki Kids,185.17
Lonely End of the Rink,184.97
Flying Zambonis,184.19
South City Squash,183.79
Gordie Howe Hatrick,183.4
Dont Fehr the Reaper,183.22
Corsi? What Corsi?,183.05
Dangletangs III,182.3
License to Ilya,182.21
LAUREN PRONGER,181.24
Leafs,180.22
Octopussy,179.71
Syracuse Bulldogs,179.3
Stastny & Hutch,179.05
Dr. Draisaitl's Sick Beats,178.41
PassTheCulpepper,177.1
I am score,176.81
Smuggy Dugnubs,176.02
Vesey scar,175.93
EXCELlent,175.82
Mystic Coupons,174.88
Karl on my Wayward Sson,173.2
Book Hockey,172.87
Mud Dragons,172.73
Hypnotoads,172.6
Kurri Farts,172.28
Everyday I'm Byfuglein,172.16
Kronwall of Pain,171.02
The Mighty Red Pandas,170.97
Mint Barrie Crunch,170.58
Do You Smell What Laraque Is Cookin?,170.36
Cell Phones and Plane Tickets,170.3
SportsNewbie,170.23
Hartford Gougers,169.95
Witty team name,169.95
Wrath of Grapes,169.53
Enter Creative Name Here,169.47
Benn There Done That,169.45
Bryan Rust and the Rusty Plugs,168.61
Toews in the Water,167.3
The JiiiveTurkays,165.8
