Malkin a Murderer,323.15
Go Puck Yourself,297.72
Kessel's Cookie Jar,296.32
Puns not dead,288.5
Giroux've Gotta Be Kidding Me!,279.03
Sheahan's Shillelaghs,269.97
Denim Chicken,267.59
RIP Heatley's Ferrari,266.7
Price Price Baby,265.75
Bust a Kapanen,265.66
Drouination,264.79
Parise Taught Me,263.86
Pimpin' Ain't Parise,262.66
Hiller Youth,259.66
Bryan Rust and the Rusty Plugs,259.45
Karl on my Wayward Sson,258.82
Double Bennatration,258.65
Jagr Bomb,258.63
Zdeno Charazard,258.43
Big Trouba in Little Giroux,258.12
Btchz B Krejci,256.57
WhoseLineIsItEberle,256.43
Alexander Radiculous' Team,256.19
Ice Roosters,255.59
Team North Americarambe,255.16
King of the Kessel,254.57
Dont Fehr the Reaper,254.12
Straight Cash Homie,252.65
bob says NYET,252.1
Hypnotoads,248.56
MayTheForsbergWithYou,248.35
Kreider Hard,247.85
Dubinsky's Garage League,246.23
Clemens HC,245.2
falco1002,245.12
40-30 Grit Grinders,244.03
The Big Pavelski,243.93
Whirlybirds,243.73
Benn There Done That,243.29
Gordie Howe Hatrick,242.97
Matthews the Saviour,241.03
Jagr Bombs,240.97
FL Skunk Apes,239.58
Boilermaker Brawlers,237.56
Doughty Didn't Deserve The Norris,237.24
I am NOT drinking any f-ckin Marleau,237.04
The Mighty Red Pandas,236.3
TeamNameRequired,235.28
St. John's Shamrocks,235.21
Ruh Oh...,234.03
All Down The Laine,233.39
Right in the Pucker,232.03
Lubo Sucks,231.21
Ginger Geesus's Grilled Cheeses,230.27
Everyday I'm Byfuglein,229.71
Human Erasers,228.87
Tarasenkyour Battleship,228.43
Kinki Kids,228.07
EXCELlent,227.58
Pikachubban,227.25
Horton Hears a Who!,226.52
Nastyearwax,226.37
Benzene96,226.04
Nailing Yaks,225.53
Damper Than Moist,225.08
Stan Mikita's Donuts,224.6
ponch101,223.67
Democratic People's Republic of Kariya,223.5
NurseSharks,223.4
Pickle High-Noon,223.37
Konecnywa,223.22
Wrath of Grapes,222.6
Red Wing High Five,221.84
macerating toilet,220.43
Dumpster Fire Brigade,219.7
One Kessticles,219.37
The Dat-sucks,219.14
CTE,218.84
Doan Look Backes,217.01
Non-stop Saadomy,216.46
Toews in the Water,216.15
Frolunda HC,215.94
Risky Bryz-ness,215.94
Enter Creative Name Here,214.88
OK Blue Jays,213.89
Stastny & Hutch,213.12
Al Jardine,212.91
Hash Hockey,212.5
Cell Phones and Plane Tickets,212.33
JewChooTrain,211.77
Stars of McDavid,211.71
Ghost Bear,210.6
Finnishing Touch,210.38
Hattrick Pornqvist,210.37
Montreal Dive,210.12
Everyone Poops,208.69
Sticks out for Harambe,208.35
Generic Hockey Pun,207.93
PassTheCulpepper,207.82
Coyotes 2.0,207.75
Corsi? What Corsi?,206.03
Up and Around the Benn,205.78
The Ides of Marchand,205.26
Red Star Beijing,205.11
Team Ukraine,205.05
I Ain't Seguin She a Gold Digger,203.65
The JiiiveTurkays,202.76
Wrath of Joe McGrath,202.2
Flying Zambonis,201.99
You're so Radulov,201.95
Mud Dragons,201.84
Witty team name,201.76
Penners Pancakes,201.37
Andre and the Goons,201.2
Acting Like Aho,200.22
Bill Crosby,200.05
Mike Smith's Chosen Juans,199.93
Cookie Thumpers,199.72
Phil Kessel's Stanley Cup Champions,199.43
South City Squash,198.37
Mackinnon Out Burger,197.87
Vesey scar,197.76
Endless Love,196.53
Heil Sittler,196.31
North Stars,195.42
2 Girls 1 Kopitar,194.92
A Song of Ice and Thryr,194.61
Snizzbone,193.83
Halak Ness Monster,192.86
Mystic Coupons,192.72
Syracuse Bulldogs,192.64
I Am Score,190.81
Octopussy,190.1
Dangletangs III,189.73
San Jose Street Sharks,189.26
AGexpress,188.62
Capital Punishment,188.43
South Detroit Journeymen,187.4
The Larkness Monster,187.01
cRosby SwAllows,184.8
CuJo31,184.5
Pucking Fricks,184.18
Book Hockey,183.91
The Snow Mexicans,182.91
NoseFaceKillahs,182.47
Kurri Farts,182.22
Clatsyuk,181.56
The Ottawa BeeVees,180.62
Flop To The Top,180.5
Lizard Wizards,180.42
Dr. Draisaitl's Sick Beats,179.82
Bergeron Burgundy,179.61
Toewsd And Confused,179.42
Corey Perry's House of Payne,179.34
Chara's Angels,179.19
McDavid Paradox,177.83
Mint Barrie Crunch,177.67
kyOh,177.19
The Red Hot Chilly Wings,177.0
Bar Down,176.48
Smuggy Dugnubs,176.38
Leafs,175.68
Scooby Dooby Dubnyk,175.3
Do You Smell What Laraque Is Cookin?,174.32
Crosby Sweaters,173.86
Puck It,173.2
Karlsson 1st Overall,173.09
Mackinnon Your Girl,173.0
Kwik-E-Mart Gougers,171.73
LAUREN PRONGER,171.7
Goaltender Interference,171.62
Puget Sound FHC,170.62
Go Vesey On Me,170.11
Gilmour Girls,169.88
The Cake Eaters,169.53
Neal's Knees,169.43
Krejci Train,169.27
Not My Team,168.69
xMrSleepyx,168.13
Hossas & Mimosas,168.12
Ghost Bear Nation,167.62
Book Hockey,166.62
Hartford Gougers,166.32
Helle's Belles,166.16
Nobody Moves Nobody Gets Hurt,160.94
ktcottrell,159.95
Tokyo Sandblasters,159.51
Fussy Puckers,159.15
Vancouver Voodoo,159.02
Kronwall of Pain,158.17
Tarasenkyu Very Much,157.69
Flashes of Greatness,156.16
SportsNewbie,155.23
Datsyukian Deke,154.34
M&Ms,153.94
McCoy's Red Army,153.7
Vienna Canucks,152.6
Lonely End of the Rink,150.71
Teamy McTeamface,149.45
Molemen,148.86
Burns-in' Down the House,148.48
GloOon Squad,147.21
Stralman Fallacy,144.67
Yak City,142.98
The Ponies of Equestria,142.82
I am score,142.66
KappinKurtz,141.36
Avadabdelkader,138.8
Tropical Depressions,137.16
VooDaddy,136.78
Re-Phil-ing the Cup,131.58
AO GR8,130.02
The Musical Fruits,127.41
Toews'd & Kane-fused,126.34
License to Ilya,125.29
Charlottetown Islanders,122.03
Larkinine,121.99
Sharp Ladds,120.14
Honey Nut Chelios,113.03
Shivakamini Somakandarkram,112.1
Tomas Fleischlights,111.51
skankhunt42,101.49
Now Josi Me 3: Let's Get Roman-tic,83.35
Ha Ha Boys,82.82
