Pimpin' Ain't Parise,207.11
Flying Zambonis,205.14
40-30 Grit Grinders,180.53
MayTheForsbergWithYou,175.68
Hiller Youth,172.32
Jagr Bomb,171.42
Mystic Coupons,170.2
Boilermaker Brawlers,169.49
Stan Mikita's Donuts,168.81
Crosby Sweaters,167.69
Halak Ness Monster,165.78
macerating toilet,165.75
Bryan Rust and the Rusty Plugs,165.33
Nailing Yaks,164.85
Doan Look Backes,164.45
PassTheCulpepper,164.15
Right in the Pucker,163.68
San Jose Street Sharks,159.76
Kronwall of Pain,159.64
Horton Hears a Who!,158.03
Konecnywa,157.01
Capital Punishment,155.43
Risky Bryz-ness,155.32
Wrath of Joe McGrath,153.11
Zdeno Charazard,153.02
EXCELlent,152.86
Enter Creative Name Here,152.79
Lubo Sucks,152.26
I Am Score,152.16
Book Hockey,151.79
Vancouver Voodoo,150.94
Tokyo Sandblasters,150.4
Acting Like Aho,150.33
Mint Barrie Crunch,150.01
The Larkness Monster,149.54
Snizzbone,149.21
Human Erasers,148.71
Phil Kessel's Stanley Cup Champions,148.13
RIP Heatley's Ferrari,148.07
Red Star Beijing,147.82
Sticks out for Harambe,147.81
Stralman Fallacy,147.59
Dubinsky's Garage League,147.26
Frolunda HC,146.53
kyOh,146.45
bob says NYET,146.32
TeamNameRequired,145.83
Kwik-E-Mart Gougers,145.24
NurseSharks,145.23
Sheahan's Shillelaghs,143.1
The Big Pavelski,142.9
Drouination,142.5
The JiiiveTurkays,142.24
OK Blue Jays,142.23
Bust a Kapanen,142.06
Whirlybirds,141.4
Coyotes 2.0,140.59
Ruh Oh...,139.85
I Ain't Seguin She a Gold Digger,139.08
CTE,139.07
Octopussy,139.05
JewChooTrain,138.93
The Ottawa BeeVees,138.2
Price Price Baby,137.79
Double Bennatration,137.43
NoseFaceKillahs,137.42
Charlottetown Islanders,136.69
Up and Around the Benn,136.65
Ghost Bear,136.52
South City Squash,135.74
Doughty Didn't Deserve The Norris,135.66
WhoseLineIsItEberle,133.38
The Cake Eaters,133.22
Pucking Fricks,132.88
Tarasenkyour Battleship,132.8
McCoy's Red Army,131.76
Mackinnon Out Burger,131.52
Damper Than Moist,131.31
Team North Americarambe,131.22
Puns not dead,130.77
Alexander Radiculous' Team,130.5
Democratic People's Republic of Kariya,130.22
Matthews the Saviour,129.48
Nastyearwax,128.97
Karl on my Wayward Sson,128.62
Molemen,128.49
