North Stars,263.97
Horton Hears a Who!,261.1
Jagr Bomb,256.26
Lubo Sucks,250.49
Kreider Hard,247.53
Team North Americarambe,243.33
bob says NYET,242.81
Denim Chicken,234.98
The Larkness Monster,234.52
Giroux've Gotta Be Kidding Me!,234.3
Hiller Youth,230.89
NurseSharks,229.16
Puns not dead,229.13
Bill Crosby,228.57
King of the Kessel,227.8
Mike Smith's Chosen Juans,227.17
falco1002,226.61
Konecnywa,225.41
I am NOT drinking any f-ckin Marleau,224.99
Mackinnon Out Burger,224.45
Goaltender Interference,224.19
RIP Heatley's Ferrari,222.65
Snizzbone,222.35
Everyone Poops,222.28
The Red Hot Chilly Wings,220.17
Alexander Radiculous' Team,217.76
Andre and the Goons,217.3
Ruh Oh...,217.3
Cell Phones and Plane Tickets,216.48
Yak City,216.43
Kurri Farts,215.67
JewChooTrain,214.36
Non-stop Saadomy,214.35
Ginger Geesus's Grilled Cheeses,213.77
Ice Roosters,213.5
EXCELlent,213.27
Flop To The Top,212.32
Dangletangs III,212.32
I Ain't Seguin She a Gold Digger,209.48
Dumpster Fire Brigade,209.34
Stan Mikita's Donuts,209.15
Kronwall of Pain,208.2
Straight Cash Homie,207.74
South City Squash,207.63
Nastyearwax,206.22
Parise Taught Me,206.16
The Big Pavelski,206.06
CTE,205.96
Doughty Didn't Deserve The Norris,205.61
All Down The Laine,204.46
Btchz B Krejci,203.97
St. John's Shamrocks,202.74
Wrath of Joe McGrath,202.1
Up and Around the Benn,201.89
Damper Than Moist,201.83
Zdeno Charazard,200.4
Mud Dragons,199.78
Big Trouba in Little Giroux,198.56
Nailing Yaks,198.47
Wrath of Grapes,198.18
San Jose Street Sharks,197.29
Tokyo Sandblasters,196.91
Dr. Draisaitl's Sick Beats,196.65
Coyotes 2.0,196.44
Sticks out for Harambe,196.3
Do You Smell What Laraque Is Cookin?,196.2
Dubinsky's Garage League,195.82
Democratic People's Republic of Kariya,195.43
Pickle High-Noon,194.76
Helle's Belles,194.58
The JiiiveTurkays,194.22
Bar Down,194.2
kyOh,193.97
Malkin a Murderer,193.8
McCoy's Red Army,193.1
Tarasenkyu Very Much,192.54
Red Star Beijing,191.7
Mackinnon Your Girl,191.27
Human Erasers,191.14
Hypnotoads,190.65
Clemens HC,190.47
Whirlybirds,189.63
The Ides of Marchand,189.24
Finnishing Touch,188.29
Go Puck Yourself,187.48
TeamNameRequired,187.47
Acting Like Aho,187.3
Enter Creative Name Here,187.13
Heil Sittler,186.23
South Detroit Journeymen,186.12
Halak Ness Monster,186.11
Team Ukraine,185.7
macerating toilet,184.68
Hossas & Mimosas,184.46
FL Skunk Apes,184.3
OK Blue Jays,183.73
Kinki Kids,182.86
Everyday I'm Byfuglein,182.66
Generic Hockey Pun,182.08
Frolunda HC,181.99
Bust a Kapanen,181.2
License to Ilya,180.85
The Musical Fruits,180.79
I Am Score,180.47
The Mighty Red Pandas,180.23
KappinKurtz,180.2
Double Bennatration,179.04
Bryan Rust and the Rusty Plugs,178.85
Mystic Coupons,177.97
Kessel's Cookie Jar,177.91
PassTheCulpepper,177.17
Flashes of Greatness,177.15
Mint Barrie Crunch,175.49
Doan Look Backes,175.37
The Cake Eaters,175.28
Pucking Fricks,175.05
Leafs,174.64
Drouination,174.05
40-30 Grit Grinders,173.47
Sheahan's Shillelaghs,173.35
Hattrick Pornqvist,173.08
Benzene96,172.1
Stastny & Hutch,171.31
Al Jardine,170.45
Tomas Fleischlights,170.06
Benn There Done That,169.88
Boilermaker Brawlers,168.79
Toews'd & Kane-fused,168.71
Pimpin' Ain't Parise,168.69
Gordie Howe Hatrick,168.07
Syracuse Bulldogs,167.8
Vancouver Voodoo,167.2
Witty team name,166.97
Jagr Bombs,165.97
Kwik-E-Mart Gougers,165.6
Penners Pancakes,165.54
One Kessticles,165.42
Vesey scar,165.15
Phil Kessel's Stanley Cup Champions,165.08
Stars of McDavid,164.41
Gilmour Girls,164.34
SportsNewbie,164.33
Tarasenkyour Battleship,163.95
M&Ms,163.87
Flying Zambonis,163.68
Karl on my Wayward Sson,163.68
LAUREN PRONGER,163.65
Ghost Bear,162.65
Red Wing High Five,161.62
Risky Bryz-ness,161.32
Right in the Pucker,161.16
Avadabdelkader,160.74
Lonely End of the Rink,160.68
The Dat-sucks,160.3
Toews in the Water,160.21
Capital Punishment,159.41
Scooby Dooby Dubnyk,158.24
Pikachubban,158.0
Honey Nut Chelios,157.81
MayTheForsbergWithYou,156.83
Hash Hockey,156.54
Krejci Train,156.34
NoseFaceKillahs,154.47
2 Girls 1 Kopitar,154.23
The Ponies of Equestria,153.81
Stralman Fallacy,153.69
cRosby SwAllows,152.12
Book Hockey,151.61
AO GR8,151.32
Now Josi Me 3: Let's Get Roman-tic,150.85
ktcottrell,150.33
Corey Perry's House of Payne,150.27
WhoseLineIsItEberle,149.94
A Song of Ice and Thryr,149.43
Vienna Canucks,148.17
Montreal Dive,148.03
Price Price Baby,147.66
Hartford Gougers,147.66
Book Hockey,147.64
xMrSleepyx,147.09
Ghost Bear Nation,146.1
VooDaddy,145.61
Molemen,144.9
Go Vesey On Me,144.38
Corsi? What Corsi?,143.86
Bergeron Burgundy,143.36
Larkinine,142.53
Dont Fehr the Reaper,141.21
Puck It,141.05
Re-Phil-ing the Cup,140.91
McDavid Paradox,139.58
Endless Love,139.31
You're so Radulov,137.99
Matthews the Saviour,135.83
CuJo31,134.79
The Ottawa BeeVees,132.84
Charlottetown Islanders,132.0
Chara's Angels,131.91
I am score,131.87
Lizard Wizards,131.4
ponch101,131.36
Toewsd And Confused,130.88
Neal's Knees,130.28
Crosby Sweaters,128.68
Cookie Thumpers,126.33
The Snow Mexicans,125.73
Octopussy,122.8
Puget Sound FHC,121.35
Sharp Ladds,120.33
Smuggy Dugnubs,117.78
GloOon Squad,117.76
AGexpress,116.42
Nobody Moves Nobody Gets Hurt,113.37
Tropical Depressions,112.2
NO SAMs allowed in here tonight,110.3
skankhunt42,110.1
Shivakamini Somakandarkram,108.82
Clatsyuk,106.65
Teamy McTeamface,102.27
Not My Team,98.25
Karlsson 1st Overall,96.84
Fussy Puckers,92.65
Datsyukian Deke,87.83
Burns-in' Down the House,73.99
